cluster_Omyk	cluster_Ssal	n
1	1	33
1	2	33
1	3	39
1	4	58
1	5	35
1	6	32
1	7	51
1	8	26
1	9	13
1	10	25
1	11	111
1	12	124
1	13	45
1	14	35
1	15	10
1	16	455
1	17	112
1	18	369
1	19	22
1	20	8
1	21	252
1	22	58
1	23	132
1	24	6
1	25	6
2	1	5
2	2	12
2	3	11
2	4	19
2	5	12
2	6	10
2	7	24
2	8	10
2	9	3
2	10	17
2	11	34
2	12	71
2	13	11
2	14	14
2	15	3
2	16	328
2	17	26
2	18	114
2	19	10
2	20	6
2	21	185
2	22	354
2	23	212
2	24	2
2	25	3
3	1	16
3	2	12
3	3	32
3	4	31
3	5	42
3	6	15
3	7	28
3	8	9
3	9	7
3	10	22
3	11	130
3	12	132
3	13	16
3	14	20
3	15	7
3	16	44
3	17	43
3	18	171
3	19	24
3	20	5
3	21	20
3	22	3337
3	23	834
3	24	3
3	25	2
4	1	16
4	2	28
4	3	83
4	4	78
4	5	39
4	6	20
4	7	27
4	8	36
4	9	92
4	10	221
4	11	101
4	12	544
4	13	403
4	14	91
4	15	30
4	16	96
4	17	108
4	18	247
4	19	136
4	20	21
4	21	47
4	22	82
4	23	156
4	24	64
4	25	30
5	1	21
5	2	33
5	3	81
5	4	65
5	5	44
5	6	29
5	7	38
5	8	30
5	9	320
5	10	452
5	11	58
5	12	683
5	13	1505
5	14	220
5	15	81
5	16	39
5	17	65
5	18	99
5	19	505
5	20	133
5	21	15
5	22	42
5	23	61
5	24	443
5	25	129
6	1	46
6	2	92
6	3	45
6	4	67
6	5	48
6	6	101
6	7	182
6	8	19
6	9	24
6	10	48
6	11	159
6	12	84
6	13	31
6	14	80
6	15	36
6	16	49
6	17	131
6	18	215
6	19	17
6	20	20
6	21	26
6	22	33
6	23	61
6	24	11
6	25	4
7	1	72
7	2	125
7	3	51
7	4	74
7	5	37
7	6	155
7	7	240
7	8	20
7	9	21
7	10	44
7	11	221
7	12	96
7	13	30
7	14	106
7	15	42
7	16	53
7	17	133
7	18	217
7	19	26
7	20	28
7	21	38
7	22	37
7	23	112
7	24	7
7	25	6
8	1	46
8	2	115
8	3	41
8	4	58
8	5	33
8	6	53
8	7	116
8	8	11
8	9	14
8	10	39
8	11	376
8	12	153
8	13	18
8	14	87
8	15	27
8	16	44
8	17	70
8	18	271
8	19	19
8	20	22
8	21	28
8	22	463
8	23	540
8	24	2
8	25	5
9	1	8
9	2	76
9	3	55
9	4	70
9	5	33
9	6	9
9	7	29
9	8	28
9	9	107
9	10	179
9	11	128
9	12	667
9	13	270
9	14	139
9	15	48
9	16	13
9	17	60
9	18	164
9	19	123
9	20	42
9	21	8
9	22	292
9	23	319
9	24	45
9	25	32
10	1	12
10	2	15
10	3	34
10	4	40
10	5	20
10	6	17
10	7	27
10	8	16
10	9	156
10	10	217
10	11	37
10	12	457
10	13	578
10	14	107
10	15	82
10	16	18
10	17	29
10	18	55
10	19	888
10	20	152
10	21	14
10	22	72
10	23	61
10	24	386
10	25	306
11	1	172
11	2	513
11	3	51
11	4	52
11	5	58
11	6	670
11	7	782
11	8	28
11	9	49
11	10	40
11	11	396
11	12	53
11	13	29
11	14	291
11	15	175
11	16	17
11	17	110
11	18	137
11	19	22
11	20	53
11	21	21
11	22	45
11	23	68
11	24	2
11	25	2
12	1	155
12	2	263
12	3	65
12	4	62
12	5	50
12	6	387
12	7	565
12	8	31
12	9	23
12	10	40
12	11	600
12	12	78
12	13	41
12	14	181
12	15	118
12	16	30
12	17	90
12	18	189
12	19	24
12	20	55
12	21	18
12	22	158
12	23	205
12	24	7
12	25	5
13	1	32
13	2	216
13	3	91
13	4	97
13	5	45
13	6	39
13	7	111
13	8	35
13	9	109
13	10	255
13	11	287
13	12	460
13	13	239
13	14	367
13	15	123
13	16	29
13	17	131
13	18	258
13	19	109
13	20	89
13	21	19
13	22	46
13	23	138
13	24	48
13	25	24
14	1	20
14	2	73
14	3	27
14	4	17
14	5	6
14	6	18
14	7	39
14	8	16
14	9	64
14	10	80
14	11	112
14	12	133
14	13	175
14	14	115
14	15	64
14	16	9
14	17	17
14	18	25
14	19	152
14	20	86
14	21	3
14	22	29
14	23	37
14	24	89
14	25	66
15	1	5
15	2	16
15	3	33
15	4	27
15	5	10
15	6	13
15	7	12
15	8	6
15	9	347
15	10	169
15	11	8
15	12	146
15	13	948
15	14	95
15	15	77
15	16	1
15	17	7
15	18	12
15	19	251
15	20	259
15	21	2
15	22	9
15	23	8
15	24	1409
15	25	143
16	1	147
16	2	180
16	3	44
16	4	33
16	5	18
16	6	763
16	7	495
16	8	17
16	9	21
16	10	19
16	11	200
16	12	28
16	13	16
16	14	122
16	15	136
16	16	10
16	17	37
16	18	33
16	19	16
16	20	44
16	21	8
16	22	23
16	23	37
16	24	5
16	25	5
17	1	77
17	2	115
17	3	27
17	4	22
17	5	23
17	6	242
17	7	225
17	8	11
17	9	22
17	10	15
17	11	113
17	12	19
17	13	19
17	14	84
17	15	61
17	16	5
17	17	24
17	18	40
17	19	11
17	20	38
17	21	4
17	22	16
17	23	20
17	24	6
17	25	1
18	1	47
18	2	412
18	3	75
18	4	49
18	5	26
18	6	78
18	7	198
18	8	12
18	9	213
18	10	150
18	11	430
18	12	293
18	13	117
18	14	1614
18	15	510
18	16	10
18	17	59
18	18	126
18	19	65
18	20	511
18	21	14
18	22	37
18	23	105
18	24	39
18	25	11
19	1	13
19	2	121
19	3	43
19	4	45
19	5	27
19	6	37
19	7	62
19	8	8
19	9	332
19	10	271
19	11	120
19	12	426
19	13	473
19	14	762
19	15	336
19	16	2
19	17	36
19	18	67
19	19	215
19	20	598
19	21	6
19	22	18
19	23	41
19	24	211
19	25	55
20	1	10
20	2	16
20	3	32
20	4	33
20	5	27
20	6	16
20	7	24
20	8	9
20	9	285
20	10	182
20	11	17
20	12	277
20	13	516
20	14	79
20	15	97
20	16	7
20	17	23
20	18	21
20	19	1326
20	20	426
20	21	6
20	22	39
20	23	30
20	24	1881
20	25	1197
21	1	254
21	2	430
21	3	40
21	4	27
21	5	37
21	6	3127
21	7	1204
