cluster_Omyk	cluster_Ssal	n
1	1	67
1	2	14
1	3	5
1	4	17
1	5	1
1	6	236
1	7	72
1	8	12
1	9	23
1	10	6
1	11	323
1	12	97
1	13	51
1	14	8
1	15	30
1	16	183
1	17	145
1	18	100
1	19	47
1	21	42
1	22	35
1	23	23
1	24	4
1	25	2
2	1	217
2	2	54
2	3	23
2	4	22
2	5	4
2	6	240
2	7	62
2	8	58
2	9	52
2	10	9
2	11	76
2	12	79
2	13	124
2	14	25
2	15	97
2	16	13
2	17	67
2	18	130
2	19	91
2	20	3
2	21	1
2	22	9
2	23	22
2	24	5
2	25	2
3	1	154
3	2	138
3	3	50
3	4	65
3	5	8
3	6	44
3	7	26
3	8	125
3	9	37
3	10	39
3	11	5
3	12	16
3	13	25
3	14	20
3	15	35
3	16	2
3	17	11
3	18	47
3	19	35
3	20	9
3	21	1
3	22	5
3	23	12
3	24	17
3	25	9
4	1	163
4	2	42
4	3	29
4	4	70
4	5	7
4	6	169
4	7	64
4	8	95
4	9	148
4	10	35
4	11	59
4	12	123
4	13	271
4	14	73
4	15	229
4	16	21
4	17	108
4	18	161
4	19	143
4	20	4
4	21	5
4	22	26
4	23	98
4	24	18
4	25	1
5	1	51
5	2	49
5	3	23
5	4	89
5	5	58
5	6	19
5	7	15
5	8	88
5	9	38
5	10	29
5	11	3
5	12	21
5	13	15
5	14	17
5	15	30
5	16	3
5	17	14
5	18	28
5	19	34
5	20	15
5	21	1
5	22	6
5	23	17
5	24	15
5	25	3
6	1	12
6	3	1
6	4	2
6	6	142
6	7	21
6	8	3
6	9	6
6	10	1
6	11	318
6	12	84
6	13	27
6	15	7
6	16	501
6	17	249
6	18	32
6	19	18
6	20	1
6	21	147
6	22	48
6	23	18
6	24	5
6	25	2
7	1	92
7	2	16
7	3	6
7	4	12
7	5	1
7	6	368
7	7	49
7	8	15
7	9	67
7	10	13
7	11	224
7	12	379
7	13	504
7	14	40
7	15	151
7	16	149
7	17	373
7	18	210
7	19	143
7	20	2
7	21	36
7	22	62
7	23	112
7	24	8
8	1	92
8	2	38
8	3	55
8	4	54
8	5	8
8	6	56
8	7	29
8	8	65
8	9	294
8	10	157
8	11	20
8	12	83
8	13	660
8	14	295
8	15	1119
8	16	8
8	17	28
8	18	96
8	19	114
8	20	18
8	21	3
8	22	10
8	23	217
8	24	58
8	25	7
9	1	72
9	2	25
9	3	55
9	4	73
9	5	13
9	6	62
9	7	46
9	8	84
9	9	277
9	10	100
9	11	33
9	12	115
9	13	361
9	14	268
9	15	664
9	16	13
9	17	37
9	18	108
9	19	136
9	20	7
9	21	7
9	22	29
9	23	256
9	24	37
9	25	7
10	1	52
10	2	50
10	3	80
10	4	113
10	5	50
10	6	13
10	7	19
10	8	86
10	9	113
10	10	178
10	11	7
10	12	19
10	13	54
10	14	148
10	15	190
10	16	1
10	17	3
10	18	26
10	19	31
10	20	58
10	21	1
10	22	1
10	23	51
10	24	74
10	25	12
11	1	23
11	2	5
11	3	10
11	4	29
11	5	2
11	6	75
11	7	29
11	8	8
11	9	63
11	10	40
11	11	114
11	12	271
11	13	447
11	14	120
11	15	281
11	16	104
11	17	139
11	18	79
11	19	79
11	20	11
11	21	54
11	22	99
11	23	246
11	24	22
11	25	5
12	1	78
12	2	10
12	3	19
12	4	33
12	5	3
12	6	138
12	7	38
12	8	33
12	9	253
12	10	68
12	11	62
12	12	415
12	13	2096
12	14	193
12	15	970
12	16	26
12	17	103
12	18	217
12	19	204
12	20	4
12	21	9
12	22	51
12	23	319
12	24	27
12	25	4
13	1	35
13	2	3
13	3	31
13	4	54
13	5	6
13	6	68
13	7	32
13	8	23
13	9	296
13	10	101
13	11	54
13	12	279
13	13	1095
13	14	405
13	15	993
13	16	21
13	17	81
13	18	92
13	19	163
13	20	9
13	21	14
13	22	71
13	23	504
13	24	57
13	25	2
14	1	27
14	2	4
14	3	61
14	4	58
14	5	16
14	6	29
14	7	24
14	8	32
14	9	257
14	10	220
14	11	23
14	12	97
14	13	360
14	14	473
14	15	852
14	16	10
14	17	19
14	18	57
14	19	67
14	20	31
14	21	5
14	22	20
14	23	348
14	24	106
14	25	16
15	1	16
15	2	10
15	3	32
15	4	69
15	5	47
15	6	11
15	7	13
15	8	25
15	9	63
15	10	139
15	11	4
15	12	30
15	13	44
15	14	162
15	15	116
15	16	4
15	17	13
15	18	17
15	19	26
15	20	86
15	21	6
15	22	16
15	23	87
15	24	95
15	25	35
16	1	3
16	3	2
16	4	3
16	5	2
16	6	28
16	7	5
16	8	3
16	9	2
16	10	4
16	11	85
16	12	46
16	13	39
16	14	7
16	15	11
16	16	336
16	17	151
16	18	22
16	19	8
16	21	376
16	22	129
16	23	30
16	24	7
17	1	8
17	3	2
17	4	5
17	5	6
17	6	36
17	7	8
17	8	4
17	9	20
17	10	13
17	11	75
17	12	120
17	13	106
17	14	31
17	15	42
17	16	164
17	17	151
17	18	35
17	19	48
17	20	2
17	21	204
17	22	209
17	23	85
17	24	8
17	25	3
18	1	22
18	2	4
18	3	10
18	4	28
18	5	5
18	6	42
18	7	30
18	8	15
18	9	62
18	10	11
18	11	47
18	12	138
18	13	101
18	14	42
18	15	77
18	16	51
18	17	99
18	18	54
18	19	73
18	20	5
18	21	41
18	22	96
18	23	99
18	24	26
18	25	4
19	1	44
19	2	8
19	3	17
19	4	18
19	5	3
19	6	84
19	7	66
19	8	27
19	9	90
19	10	44
19	11	93
19	12	128
19	13	316
19	14	104
19	15	267
19	16	41
19	17	78
19	18	64
19	19	72
19	20	8
19	21	20
19	22	47
19	23	139
19	24	18
19	25	10
20	1	14
20	2	1
20	3	17
20	4	40
20	5	29
20	6	27
20	7	24
20	8	5
20	9	82
20	10	56
20	11	37
20	12	136
20	13	137
20	14	146
20	15	145
20	16	66
20	17	64
20	18	28
20	19	48
20	20	21
20	21	55
20	22	87
20	23	180
20	24	51
20	25	14
21	1	20
21	2	3
21	3	5
21	4	8
21	6	171
21	7	18
21	8	4
21	9	15
21	10	7
21	11	207
21	12	213
21	13	139
21	14	28
21	15	51
21	16	341
21	17	350
21	18	97
21	19	60
21	20	1
21	21	187
21	22	123
21	23	62
21	24	7
21	25	2
22	1	52
22	2	2
22	3	7
22	4	32
22	5	3
22	6	160
22	7	36
22	8	19
22	9	47
22	10	20
22	11	178
22	12	251
22	13	163
22	14	43
22	15	95
22	16	133
22	17	249
22	18	119
22	19	117
22	20	3
22	21	65
22	22	116
22	23	99
22	24	10
22	25	3
23	1	23
23	2	4
23	3	44
23	4	52
23	5	10
23	6	22
23	7	33
23	8	27
23	9	123
23	10	59
23	11	23
23	12	93
23	13	96
23	14	130
23	15	171
23	16	11
23	17	30
23	18	39
23	19	71
23	20	12
23	21	8
23	22	54
23	23	135
23	24	46
23	25	13
24	1	14
24	2	15
24	3	12
24	4	60
24	5	118
24	6	6
24	7	8
24	8	37
24	9	23
24	10	70
24	11	2
24	12	6
24	13	9
24	14	32
24	15	25
24	17	3
24	18	13
24	19	8
24	20	85
24	22	4
24	23	11
24	24	44
24	25	22
25	1	3
25	2	2
25	3	12
25	4	25
25	5	85
25	6	1
25	7	1
25	8	12
25	9	2
25	10	48
25	12	3
25	13	2
25	14	16
25	15	5
25	16	2
25	18	1
25	19	4
25	20	162
25	21	1
25	22	3
25	23	6
25	24	33
25	25	98
