gene_id	transcript_id(s)	AtlanticSalmon_RNA_Brain_Immature_Female_R1	AtlanticSalmon_RNA_Brain_Immature_Female_R2	AtlanticSalmon_RNA_Brain_Immature_Female_R3	AtlanticSalmon_RNA_Brain_Immature_Male_R1	AtlanticSalmon_RNA_Brain_Immature_Male_R2	AtlanticSalmon_RNA_Brain_Immature_Male_R3	AtlanticSalmon_RNA_Brain_Mature_Female_R1	AtlanticSalmon_RNA_Brain_Mature_Female_R2	AtlanticSalmon_RNA_Brain_Mature_Female_R3	AtlanticSalmon_RNA_Brain_Mature_Male_R1	AtlanticSalmon_RNA_Brain_Mature_Male_R2	AtlanticSalmon_RNA_Brain_Mature_Male_R3
ENSSSAG00000000040	ENSSSAT00000000040,ENSSSAT00000158143,ENSSSAT00000197579,ENSSSAT00000219342	4.78	4.46	4.43	4.77	5.13	6.74	3.55	6.37	8.45	4.34	5.80	4.10
ENSSSAG00000000041	ENSSSAT00000000041	0.15	0.08	0.00	0.00	0.07	0.17	1.37	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000044	ENSSSAT00000000051	0.15	0.33	0.00	0.14	0.11	0.08	0.32	0.18	0.11	0.26	0.00	0.20
ENSSSAG00000000048	ENSSSAT00000000056,ENSSSAT00000000058,ENSSSAT00000000059,ENSSSAT00000000060,ENSSSAT00000233067	4.12	3.67	8.38	6.45	4.71	3.93	3.47	8.95	7.06	8.23	3.83	7.38
ENSSSAG00000000049	ENSSSAT00000000061	6.95	4.68	11.51	6.89	4.82	9.94	5.15	8.82	9.42	7.24	6.98	10.46
ENSSSAG00000000051	ENSSSAT00000000064,ENSSSAT00000181079,ENSSSAT00000194671,ENSSSAT00000200218,ENSSSAT00000235262,ENSSSAT00000239238	19.57	16.31	15.82	12.79	17.56	13.71	9.02	15.01	12.07	12.94	19.44	11.40
ENSSSAG00000000052	ENSSSAT00000000066,ENSSSAT00000230849,ENSSSAT00000242780	1068.05	885.28	840.55	153.36	484.84	675.02	9.82	162.88	318.28	223.59	1216.32	198.56
ENSSSAG00000000055	ENSSSAT00000000069	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.11	0.00	0.00	0.00	0.00
ENSSSAG00000000057	ENSSSAT00000000071,ENSSSAT00000000072	10.26	10.80	15.17	12.33	11.53	11.07	11.80	13.24	15.22	13.57	15.00	14.25
ENSSSAG00000000059	ENSSSAT00000000082,ENSSSAT00000000085	0.19	0.10	0.03	0.18	0.28	0.03	0.48	0.21	0.07	0.12	0.03	0.00
ENSSSAG00000000063	ENSSSAT00000000093,ENSSSAT00000178006,ENSSSAT00000196236	9.97	11.06	11.29	8.37	10.09	8.49	8.22	11.75	11.85	11.29	10.43	11.16
