gene_id	transcript_id(s)	AtlanticSalmon_RNA_Gill_Immature_Female_R1	AtlanticSalmon_RNA_Gill_Immature_Female_R2	AtlanticSalmon_RNA_Gill_Immature_Female_R3	AtlanticSalmon_RNA_Gill_Immature_Male_R1	AtlanticSalmon_RNA_Gill_Immature_Male_R2	AtlanticSalmon_RNA_Gill_Immature_Male_R3	AtlanticSalmon_RNA_Gill_Mature_Female_R1	AtlanticSalmon_RNA_Gill_Mature_Female_R2	AtlanticSalmon_RNA_Gill_Mature_Female_R3	AtlanticSalmon_RNA_Gill_Mature_Male_R1	AtlanticSalmon_RNA_Gill_Mature_Male_R2	AtlanticSalmon_RNA_Gill_Mature_Male_R3
ENSSSAG00000000040	ENSSSAT00000000040,ENSSSAT00000158143,ENSSSAT00000197579,ENSSSAT00000219342	3.97	5.20	5.52	4.87	3.48	3.24	7.91	5.92	7.02	7.04	5.77	7.64
ENSSSAG00000000041	ENSSSAT00000000041	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000044	ENSSSAT00000000051	0.05	0.03	0.19	0.08	0.12	0.05	0.12	0.50	0.22	0.12	0.02	0.18
ENSSSAG00000000048	ENSSSAT00000000056,ENSSSAT00000000058,ENSSSAT00000000059,ENSSSAT00000000060,ENSSSAT00000233067	2.33	2.26	2.08	3.19	3.96	1.64	3.72	3.49	4.60	2.14	1.79	2.51
ENSSSAG00000000049	ENSSSAT00000000061	5.44	7.72	9.84	7.33	7.24	8.54	8.25	9.52	8.68	6.85	8.43	6.99
ENSSSAG00000000051	ENSSSAT00000000064,ENSSSAT00000181079,ENSSSAT00000194671,ENSSSAT00000200218,ENSSSAT00000235262,ENSSSAT00000239238	21.81	18.15	22.49	16.10	18.55	20.36	13.02	15.48	19.16	15.54	12.99	20.57
ENSSSAG00000000052	ENSSSAT00000000066,ENSSSAT00000230849,ENSSSAT00000242780	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.02	0.17	0.15	0.14	0.00
ENSSSAG00000000055	ENSSSAT00000000069	0.11	0.00	0.23	0.06	0.24	0.00	0.06	0.06	0.00	0.00	0.53	0.18
ENSSSAG00000000057	ENSSSAT00000000071,ENSSSAT00000000072	17.85	25.48	25.31	27.87	21.38	18.31	18.83	26.86	25.92	25.60	26.70	24.21
ENSSSAG00000000059	ENSSSAT00000000082,ENSSSAT00000000085	0.05	0.03	0.03	0.03	0.08	0.02	0.13	0.06	0.16	0.11	0.02	0.02
ENSSSAG00000000063	ENSSSAT00000000093,ENSSSAT00000178006,ENSSSAT00000196236	5.17	7.67	5.98	6.89	6.46	7.63	8.53	8.98	8.35	7.70	8.66	6.42
ENSSSAG00000000065	ENSSSAT00000000097,ENSSSAT00000000098,ENSSSAT00000166332,ENSSSAT00000205880,ENSSSAT00000251405	0.10	0.48	0.00	3.78	0.00	3.82	12.63	0.56	9.93	0.29	3.11	6.64
ENSSSAG00000000067	ENSSSAT00000191367	0.26	0.51	0.73	1.16	1.47	0.47	0.95	2.89	1.00	1.38	0.58	0.60
ENSSSAG00000000069	ENSSSAT00000000102,ENSSSAT00000000103,ENSSSAT00000188433,ENSSSAT00000236380	0.10	0.18	0.13	0.10	0.13	0.00	0.23	0.08	0.29	0.26	0.13	0.03
ENSSSAG00000000073	ENSSSAT00000000108,ENSSSAT00000000109,ENSSSAT00000159604,ENSSSAT00000173271,ENSSSAT00000185150,ENSSSAT00000190668,ENSSSAT00000253112,ENSSSAT00000253728	2.16	2.56	5.48	3.03	4.61	3.68	3.67	2.24	5.68	5.60	3.06	2.03
ENSSSAG00000000075	ENSSSAT00000000111,ENSSSAT00000000112,ENSSSAT00000000113,ENSSSAT00000000114,ENSSSAT00000000115,ENSSSAT00000000116,ENSSSAT00000000117,ENSSSAT00000000118	2.61	2.83	3.74	2.39	2.91	2.74	2.59	3.21	4.72	2.84	1.82	3.82
ENSSSAG00000000076	ENSSSAT00000000119	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000077	ENSSSAT00000000120,ENSSSAT00000000121,ENSSSAT00000000122,ENSSSAT00000000123	4.78	3.33	2.83	1.61	3.24	4.55	4.27	18.71	7.66	4.70	5.46	4.18
ENSSSAG00000000078	ENSSSAT00000000125	12.67	10.59	11.92	11.22	6.95	10.79	12.93	12.75	8.32	9.92	10.16	7.74
ENSSSAG00000000079	ENSSSAT00000000126,ENSSSAT00000228057	17.85	17.65	15.33	12.60	14.21	12.99	11.15	14.01	13.24	12.57	13.76	13.24
ENSSSAG00000000080	ENSSSAT00000000127,ENSSSAT00000000128,ENSSSAT00000000129	13.64	16.52	15.94	16.08	15.33	18.09	17.86	19.25	20.40	16.71	14.19	16.27
