gene_id	transcript_id(s)	AtlanticSalmon_RNA_HeadKidney_Immature_Female_R1	AtlanticSalmon_RNA_HeadKidney_Immature_Female_R2	AtlanticSalmon_RNA_HeadKidney_Immature_Female_R3	AtlanticSalmon_RNA_HeadKidney_Immature_Male_R1	AtlanticSalmon_RNA_HeadKidney_Immature_Male_R2	AtlanticSalmon_RNA_HeadKidney_Immature_Male_R3	AtlanticSalmon_RNA_HeadKidney_Mature_Female_R1	AtlanticSalmon_RNA_HeadKidney_Mature_Female_R2	AtlanticSalmon_RNA_HeadKidney_Mature_Female_R3	AtlanticSalmon_RNA_HeadKidney_Mature_Male_R1	AtlanticSalmon_RNA_HeadKidney_Mature_Male_R2	AtlanticSalmon_RNA_HeadKidney_Mature_Male_R3
ENSSSAG00000000040	ENSSSAT00000000040,ENSSSAT00000158143,ENSSSAT00000197579,ENSSSAT00000219342	12.41	11.19	5.90	7.45	11.04	8.70	9.42	6.98	12.53	10.07	8.00	10.34
ENSSSAG00000000041	ENSSSAT00000000041	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000044	ENSSSAT00000000051	0.06	0.11	0.11	0.09	0.02	0.06	0.13	0.42	0.28	0.18	0.03	0.56
ENSSSAG00000000048	ENSSSAT00000000056,ENSSSAT00000000058,ENSSSAT00000000059,ENSSSAT00000000060,ENSSSAT00000233067	5.17	4.62	4.47	3.84	4.79	3.82	4.25	4.12	6.22	4.94	4.00	4.03
ENSSSAG00000000049	ENSSSAT00000000061	7.34	8.59	4.45	8.05	12.51	11.73	12.78	10.51	14.23	10.82	5.87	12.94
ENSSSAG00000000051	ENSSSAT00000000064,ENSSSAT00000181079,ENSSSAT00000194671,ENSSSAT00000200218,ENSSSAT00000235262,ENSSSAT00000239238	15.84	12.14	14.94	11.65	17.80	14.34	12.43	16.03	15.14	19.27	12.53	16.19
ENSSSAG00000000052	ENSSSAT00000000066,ENSSSAT00000230849,ENSSSAT00000242780	0.04	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.79	0.01	0.00
ENSSSAG00000000055	ENSSSAT00000000069	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000057	ENSSSAT00000000071,ENSSSAT00000000072	24.51	30.79	23.50	25.58	30.74	26.94	22.31	25.72	40.89	36.67	20.08	42.15
ENSSSAG00000000059	ENSSSAT00000000082,ENSSSAT00000000085	0.51	0.74	0.16	0.12	0.36	0.38	0.37	0.16	0.30	0.54	0.14	0.47
ENSSSAG00000000063	ENSSSAT00000000093,ENSSSAT00000178006,ENSSSAT00000196236	4.11	6.29	2.89	5.02	5.89	4.22	5.36	5.52	5.53	5.48	3.51	5.34
ENSSSAG00000000065	ENSSSAT00000000097,ENSSSAT00000000098,ENSSSAT00000166332,ENSSSAT00000205880,ENSSSAT00000251405	0.00	0.30	0.00	2.04	0.00	4.46	5.59	0.29	12.00	0.00	3.48	4.71
ENSSSAG00000000067	ENSSSAT00000191367	0.37	0.28	0.00	0.11	0.52	0.17	0.00	0.35	0.30	0.15	0.10	0.20
ENSSSAG00000000069	ENSSSAT00000000102,ENSSSAT00000000103,ENSSSAT00000188433,ENSSSAT00000236380	0.00	0.00	0.00	0.02	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000073	ENSSSAT00000000108,ENSSSAT00000000109,ENSSSAT00000159604,ENSSSAT00000173271,ENSSSAT00000185150,ENSSSAT00000190668,ENSSSAT00000253112,ENSSSAT00000253728	0.00	0.14	0.00	0.06	0.13	0.06	0.03	0.06	0.15	0.09	0.00	0.19
ENSSSAG00000000075	ENSSSAT00000000111,ENSSSAT00000000112,ENSSSAT00000000113,ENSSSAT00000000114,ENSSSAT00000000115,ENSSSAT00000000116,ENSSSAT00000000117,ENSSSAT00000000118	3.21	1.65	1.13	1.45	3.27	2.47	1.89	2.28	2.73	2.88	1.30	2.74
ENSSSAG00000000076	ENSSSAT00000000119	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000077	ENSSSAT00000000120,ENSSSAT00000000121,ENSSSAT00000000122,ENSSSAT00000000123	2.64	7.93	3.78	2.67	6.01	5.21	6.38	11.76	7.83	6.49	3.46	7.69
ENSSSAG00000000078	ENSSSAT00000000125	40.19	35.27	32.62	42.10	37.50	37.50	36.02	27.46	37.11	39.18	32.86	29.60
ENSSSAG00000000079	ENSSSAT00000000126,ENSSSAT00000228057	9.72	9.15	8.34	6.48	6.08	5.62	6.77	8.78	6.94	7.87	6.86	6.58
ENSSSAG00000000080	ENSSSAT00000000127,ENSSSAT00000000128,ENSSSAT00000000129	17.33	17.66	12.16	10.20	16.08	14.81	12.78	12.97	18.02	16.92	9.41	14.23
ENSSSAG00000000082	ENSSSAT00000000133,ENSSSAT00000000134,ENSSSAT00000000135	1.84	1.78	1.04	0.76	2.82	1.65	1.81	1.38	1.52	1.86	0.71	2.60
ENSSSAG00000000083	ENSSSAT00000000136	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000085	ENSSSAT00000000138,ENSSSAT00000181392	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000089	ENSSSAT00000108939,ENSSSAT00000162697,ENSSSAT00000244545	0.27	0.39	0.10	0.10	1.10	0.19	0.23	0.20	0.15	0.86	0.15	0.46
ENSSSAG00000000090	ENSSSAT00000000146,ENSSSAT00000000147,ENSSSAT00000000148,ENSSSAT00000232459	13.98	10.90	17.44	13.18	16.88	16.96	10.54	9.96	20.59	15.95	11.30	17.68
ENSSSAG00000000091	ENSSSAT00000000150,ENSSSAT00000108728,ENSSSAT00000186088	9.56	9.18	3.54	2.50	7.33	6.92	5.41	4.23	8.36	7.07	3.44	6.93
ENSSSAG00000000094	ENSSSAT00000000154,ENSSSAT00000000156,ENSSSAT00000000157,ENSSSAT00000000158,ENSSSAT00000098469,ENSSSAT00000174826,ENSSSAT00000240056	0.09	0.07	0.05	0.00	0.09	0.02	0.10	0.01	0.04	0.10	0.04	0.04
ENSSSAG00000000096	ENSSSAT00000000160,ENSSSAT00000000161,ENSSSAT00000000162,ENSSSAT00000222234	28.00	24.72	29.57	24.41	24.38	20.47	28.55	25.19	21.67	30.12	20.12	20.62
