gene_id	transcript_id(s)	RainbowTrout_RNA_Brain_Immature_Female_R1	RainbowTrout_RNA_Brain_Immature_Female_R2	RainbowTrout_RNA_Brain_Immature_Female_R3	RainbowTrout_RNA_Brain_Immature_Male_R1	RainbowTrout_RNA_Brain_Immature_Male_R2	RainbowTrout_RNA_Brain_Immature_Male_R3	RainbowTrout_RNA_Brain_Mature_Female_R1	RainbowTrout_RNA_Brain_Mature_Female_R2	RainbowTrout_RNA_Brain_Mature_Female_R3	RainbowTrout_RNA_Brain_Mature_Male_R1	RainbowTrout_RNA_Brain_Mature_Male_R2	RainbowTrout_RNA_Brain_Mature_Male_R3
ENSOMYG00000000039	ENSOMYT00000000041	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.43
ENSOMYG00000000042	ENSOMYT00000000043	3.25	9.96	5.13	7.23	7.20	8.93	5.50	9.76	6.44	5.84	5.99	8.28
ENSOMYG00000000043	ENSOMYT00000000044	20.47	17.56	16.44	17.53	15.58	21.50	11.11	11.78	13.51	18.28	16.93	16.52
ENSOMYG00000000044	ENSOMYT00000000045,ENSOMYT00000130347,ENSOMYT00000152379	0.72	1.43	0.93	1.82	0.60	1.89	0.88	1.80	1.66	4.58	3.95	0.69
ENSOMYG00000000045	ENSOMYT00000000046	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000046	ENSOMYT00000000047	9.96	13.51	12.10	10.99	12.64	15.22	9.56	11.61	15.35	5.26	11.25	11.97
ENSOMYG00000000048	ENSOMYT00000000051	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000049	ENSOMYT00000000052	15.77	14.97	15.82	20.75	14.08	16.60	7.49	29.47	14.10	17.37	16.44	18.78
ENSOMYG00000000050	ENSOMYT00000000053	8.00	9.99	7.73	5.32	8.66	8.55	7.82	8.20	7.82	6.36	6.77	6.14
ENSOMYG00000000053	ENSOMYT00000000056	4.24	3.60	3.40	1.88	2.36	2.74	2.35	2.11	2.23	2.02	2.51	2.40
ENSOMYG00000000054	ENSOMYT00000000058,ENSOMYT00000000061,ENSOMYT00000137190	38.89	34.45	39.56	37.53	31.94	32.72	3.41	6.08	7.73	4.67	4.90	26.97
ENSOMYG00000000055	ENSOMYT00000000057	2.00	3.29	0.88	1.57	1.98	2.93	1.58	1.76	1.29	1.38	0.66	1.76
ENSOMYG00000000056	ENSOMYT00000000060,ENSOMYT00000125986,ENSOMYT00000131030,ENSOMYT00000137071	3.17	2.46	2.94	4.26	4.42	4.32	3.75	4.28	4.67	2.69	4.19	4.59
ENSOMYG00000000059	ENSOMYT00000000064	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000061	ENSOMYT00000000070,ENSOMYT00000000072	1.35	0.27	1.89	2.34	1.89	0.50	1.31	1.10	1.37	2.20	2.88	0.26
ENSOMYG00000000063	ENSOMYT00000000071	1.60	1.22	0.74	0.45	0.46	0.69	1.78	1.95	1.44	1.07	0.79	1.91
ENSOMYG00000000064	ENSOMYT00000000074,ENSOMYT00000160957	4.43	6.73	5.26	9.53	7.26	3.98	3.27	3.60	5.37	5.67	4.32	2.51
