gene_id	transcript_id(s)	RainbowTrout_RNA_DistalIntestine_Immature_Female_R1	RainbowTrout_RNA_DistalIntestine_Immature_Female_R2	RainbowTrout_RNA_DistalIntestine_Immature_Female_R3	RainbowTrout_RNA_DistalIntestine_Immature_Male_R1	RainbowTrout_RNA_DistalIntestine_Immature_Male_R2	RainbowTrout_RNA_DistalIntestine_Immature_Male_R3	RainbowTrout_RNA_DistalIntestine_Mature_Female_R1	RainbowTrout_RNA_DistalIntestine_Mature_Female_R2	RainbowTrout_RNA_DistalIntestine_Mature_Female_R3	RainbowTrout_RNA_DistalIntestine_Mature_Male_R1	RainbowTrout_RNA_DistalIntestine_Mature_Male_R2	RainbowTrout_RNA_DistalIntestine_Mature_Male_R3
ENSOMYG00000000039	ENSOMYT00000000041	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000042	ENSOMYT00000000043	0.27	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000043	ENSOMYT00000000044	35.84	22.59	18.30	22.59	46.19	27.09	33.67	29.22	31.49	33.03	29.43	33.82
ENSOMYG00000000044	ENSOMYT00000000045,ENSOMYT00000130347,ENSOMYT00000152379	0.41	3.17	1.60	2.60	0.43	4.06	0.39	0.32	0.47	2.16	0.89	0.71
ENSOMYG00000000045	ENSOMYT00000000046	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000046	ENSOMYT00000000047	3.50	1.68	1.28	0.13	4.92	2.38	2.70	2.32	3.49	1.49	0.84	1.61
ENSOMYG00000000048	ENSOMYT00000000051	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000049	ENSOMYT00000000052	10.60	10.24	3.13	11.69	6.52	7.26	13.99	10.83	8.75	6.27	6.72	7.73
ENSOMYG00000000050	ENSOMYT00000000053	2.94	3.27	4.46	2.50	3.02	3.09	5.82	4.80	3.49	3.81	4.41	4.46
ENSOMYG00000000053	ENSOMYT00000000056	2.53	1.51	1.50	1.02	2.10	1.67	1.49	1.09	1.46	0.98	1.37	2.12
