gene_id	transcript_id(s)	RainbowTrout_RNA_Gill_Immature_Female_R1	RainbowTrout_RNA_Gill_Immature_Female_R2	RainbowTrout_RNA_Gill_Immature_Female_R3	RainbowTrout_RNA_Gill_Immature_Male_R1	RainbowTrout_RNA_Gill_Immature_Male_R2	RainbowTrout_RNA_Gill_Immature_Male_R3	RainbowTrout_RNA_Gill_Mature_Female_R1	RainbowTrout_RNA_Gill_Mature_Female_R2	RainbowTrout_RNA_Gill_Mature_Female_R3	RainbowTrout_RNA_Gill_Mature_Male_R1	RainbowTrout_RNA_Gill_Mature_Male_R2	RainbowTrout_RNA_Gill_Mature_Male_R3
ENSOMYG00000000039	ENSOMYT00000000041	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000042	ENSOMYT00000000043	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000043	ENSOMYT00000000044	15.09	18.53	15.74	11.06	9.77	14.69	17.58	18.97	13.69	18.90	27.17	19.73
ENSOMYG00000000044	ENSOMYT00000000045,ENSOMYT00000130347,ENSOMYT00000152379	0.00	0.00	0.20	0.00	0.00	0.06	0.00	0.44	0.53	0.16	0.10	0.23
ENSOMYG00000000045	ENSOMYT00000000046	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000046	ENSOMYT00000000047	0.80	3.39	3.25	4.51	4.08	3.49	13.17	1.55	2.41	3.66	0.90	1.47
ENSOMYG00000000048	ENSOMYT00000000051	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000049	ENSOMYT00000000052	8.77	7.50	8.28	10.62	5.02	7.98	7.47	4.87	6.66	6.41	7.00	8.04
ENSOMYG00000000050	ENSOMYT00000000053	3.05	6.95	4.13	2.57	3.80	3.98	10.88	2.57	4.35	2.63	3.48	4.39
ENSOMYG00000000053	ENSOMYT00000000056	2.66	2.58	2.29	2.19	2.25	2.59	2.91	1.62	2.12	1.55	1.92	3.90
ENSOMYG00000000054	ENSOMYT00000000058,ENSOMYT00000000061,ENSOMYT00000137190	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000055	ENSOMYT00000000057	0.00	0.35	0.06	0.35	0.12	0.38	0.00	0.06	0.15	0.06	0.13	0.07
ENSOMYG00000000056	ENSOMYT00000000060,ENSOMYT00000125986,ENSOMYT00000131030,ENSOMYT00000137071	31.11	33.75	25.72	24.95	25.85	23.34	15.04	25.77	30.10	30.64	26.32	33.03
ENSOMYG00000000059	ENSOMYT00000000064	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000061	ENSOMYT00000000070,ENSOMYT00000000072	17.68	33.01	32.45	27.73	27.29	26.44	26.38	22.76	25.89	57.51	26.90	34.59
ENSOMYG00000000063	ENSOMYT00000000071	0.07	0.00	0.11	0.11	0.28	0.06	0.00	0.05	0.05	0.00	0.00	0.13
ENSOMYG00000000064	ENSOMYT00000000074,ENSOMYT00000160957	8.60	13.46	6.84	8.29	7.78	11.75	11.37	5.21	7.12	6.21	10.78	8.03
ENSOMYG00000000066	ENSOMYT00000000080,ENSOMYT00000157253	20.05	33.68	30.08	32.10	21.95	29.84	21.55	24.30	20.56	49.17	48.74	60.56
ENSOMYG00000000068	ENSOMYT00000000078	0.00	0.11	0.09	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00
ENSOMYG00000000074	ENSOMYT00000000087	3.54	5.12	6.65	3.34	2.86	3.99	1.84	4.04	3.81	4.71	3.86	3.85
ENSOMYG00000000075	ENSOMYT00000000088,ENSOMYT00000000089,ENSOMYT00000145649	7.92	7.92	7.82	7.58	6.99	7.14	7.69	6.48	8.57	8.55	7.39	7.14
ENSOMYG00000000077	ENSOMYT00000000095,ENSOMYT00000129612	1.34	2.42	2.03	2.41	1.47	1.69	1.88	0.88	0.63	0.97	0.48	1.32
ENSOMYG00000000078	ENSOMYT00000000092	0.53	0.17	1.35	0.28	1.29	1.53	2.67	2.03	1.00	0.60	2.21	0.16
ENSOMYG00000000080	ENSOMYT00000000094,ENSOMYT00000126984,ENSOMYT00000129249,ENSOMYT00000143412,ENSOMYT00000150820,ENSOMYT00000157123,ENSOMYT00000161318	21.13	21.37	19.61	18.82	20.34	16.24	25.25	13.80	13.72	19.06	16.70	20.28
ENSOMYG00000000082	ENSOMYT00000000098	6.31	7.00	5.99	5.36	6.29	4.33	4.33	6.11	5.64	5.65	5.67	5.65
