gene_id	transcript_id(s)	RainbowTrout_RNA_Gonad_Immature_Female_R1	RainbowTrout_RNA_Gonad_Immature_Female_R2	RainbowTrout_RNA_Gonad_Immature_Female_R3	RainbowTrout_RNA_Gonad_Immature_Male_R1	RainbowTrout_RNA_Gonad_Immature_Male_R2	RainbowTrout_RNA_Gonad_Immature_Male_R3	RainbowTrout_RNA_Gonad_Immature_Male_R4	RainbowTrout_RNA_Gonad_Immature_Male_R5	RainbowTrout_RNA_Gonad_Immature_Male_R6	RainbowTrout_RNA_Gonad_Mature_Female_R1	RainbowTrout_RNA_Gonad_Mature_Female_R2	RainbowTrout_RNA_Gonad_Mature_Female_R3	RainbowTrout_RNA_Gonad_Mature_Male_R1	RainbowTrout_RNA_Gonad_Mature_Male_R2	RainbowTrout_RNA_Gonad_Mature_Male_R3	RainbowTrout_RNA_Gonad_Mature_Male_R4	RainbowTrout_RNA_Gonad_Mature_Male_R5	RainbowTrout_RNA_Gonad_Mature_Male_R6
ENSOMYG00000000039	ENSOMYT00000000041	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000042	ENSOMYT00000000043	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.06	0.05
ENSOMYG00000000043	ENSOMYT00000000044	1.95	2.07	4.20	16.48	14.86	13.26	14.04	13.67	12.01	6.84	9.95	16.32	3.87	6.08	5.14	9.91	9.78	2.73
ENSOMYG00000000044	ENSOMYT00000000045,ENSOMYT00000130347,ENSOMYT00000152379	1.13	1.00	5.48	4.04	2.73	3.54	9.57	2.19	1.82	1.14	4.63	1.99	2.93	4.33	4.90	4.71	7.35	4.40
ENSOMYG00000000045	ENSOMYT00000000046	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000046	ENSOMYT00000000047	47.51	62.23	26.96	2.26	1.70	3.20	3.24	3.25	2.72	20.55	26.55	25.79	2.10	4.19	1.06	0.32	1.42	0.30
ENSOMYG00000000048	ENSOMYT00000000051	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000049	ENSOMYT00000000052	7.74	16.14	15.19	26.39	14.63	14.85	8.13	17.70	18.29	15.81	7.81	8.73	173.07	163.73	195.63	124.93	291.68	152.93
ENSOMYG00000000050	ENSOMYT00000000053	11.05	9.88	11.21	6.45	7.93	9.43	9.49	7.20	5.03	7.90	12.55	10.08	8.23	7.83	7.44	8.29	7.53	7.34
ENSOMYG00000000053	ENSOMYT00000000056	8.71	9.78	6.12	3.16	5.45	3.61	4.17	5.42	4.32	4.47	4.61	4.84	2.35	3.13	3.99	3.75	2.85	2.88
ENSOMYG00000000054	ENSOMYT00000000058,ENSOMYT00000000061,ENSOMYT00000137190	0.52	0.59	0.37	0.48	1.25	1.24	0.60	0.80	0.86	0.50	0.30	0.13	1.19	2.33	1.66	2.40	4.47	1.33
ENSOMYG00000000055	ENSOMYT00000000057	0.00	0.00	0.00	0.62	0.00	0.59	0.07	0.38	0.34	0.00	0.00	0.00	0.63	0.90	0.13	0.00	0.00	0.27
ENSOMYG00000000056	ENSOMYT00000000060,ENSOMYT00000125986,ENSOMYT00000131030,ENSOMYT00000137071	19.30	19.58	22.63	6.92	5.36	8.78	8.49	5.02	5.56	16.49	12.94	14.77	1.44	2.86	3.20	4.44	2.05	2.71
ENSOMYG00000000059	ENSOMYT00000000064	0.00	0.00	0.00	0.00	1.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000061	ENSOMYT00000000070,ENSOMYT00000000072	1.52	3.69	5.10	27.92	22.82	21.66	32.89	12.25	13.16	38.72	52.19	38.54	3.86	4.20	3.89	5.74	1.90	1.82
ENSOMYG00000000063	ENSOMYT00000000071	0.06	0.00	0.00	0.00	0.00	0.11	0.25	0.00	0.11	0.12	0.09	0.00	0.18	0.18	0.12	0.00	0.00	0.00
ENSOMYG00000000064	ENSOMYT00000000074,ENSOMYT00000160957	2.63	0.26	0.26	1.20	0.96	1.21	2.55	1.38	1.32	0.14	3.14	1.07	0.61	1.62	0.62	0.95	0.79	2.92
ENSOMYG00000000066	ENSOMYT00000000080,ENSOMYT00000157253	48.61	59.24	37.26	1.89	2.55	4.64	2.02	1.08	0.97	23.16	28.34	12.30	0.86	1.73	0.66	0.12	0.58	0.43
ENSOMYG00000000068	ENSOMYT00000000078	0.00	0.00	0.00	0.00	0.10	0.28	0.11	0.26	0.36	0.00	0.00	0.00	0.10	0.10	0.00	0.00	0.00	0.00
ENSOMYG00000000074	ENSOMYT00000000087	2.42	1.18	1.46	26.81	26.85	24.86	22.47	12.29	10.41	0.58	2.40	1.00	4.76	5.49	4.58	6.93	1.79	3.51
ENSOMYG00000000075	ENSOMYT00000000088,ENSOMYT00000000089,ENSOMYT00000145649	2.07	3.26	12.26	13.28	8.38	7.37	13.48	6.68	6.80	20.09	14.18	6.74	2.58	2.67	2.66	2.96	4.16	4.30
ENSOMYG00000000077	ENSOMYT00000000095,ENSOMYT00000129612	18.88	21.46	25.81	3.92	5.53	3.92	4.05	3.77	4.08	14.89	16.99	15.26	1.58	3.15	2.19	2.89	1.32	0.79
ENSOMYG00000000078	ENSOMYT00000000092	0.00	0.15	0.15	0.76	1.50	2.11	1.49	1.35	0.98	0.31	0.24	0.37	0.77	0.77	0.31	0.00	0.14	0.79
ENSOMYG00000000080	ENSOMYT00000000094,ENSOMYT00000126984,ENSOMYT00000129249,ENSOMYT00000143412,ENSOMYT00000150820,ENSOMYT00000157123,ENSOMYT00000161318	28.14	29.48	28.75	44.14	52.24	47.70	36.75	50.92	49.30	28.20	24.42	18.21	57.87	61.60	60.78	56.72	52.20	54.59
ENSOMYG00000000082	ENSOMYT00000000098	19.29	20.85	17.40	10.87	13.21	12.76	15.26	11.59	8.89	8.94	8.99	8.30	5.59	5.76	5.28	5.41	3.33	4.77
ENSOMYG00000000083	ENSOMYT00000000103	5.28	6.11	4.10	4.97	7.43	6.08	3.68	5.13	6.07	0.69	0.97	0.89	2.34	1.86	3.13	1.03	0.65	6.23
ENSOMYG00000000084	ENSOMYT00000000101	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.13
ENSOMYG00000000087	ENSOMYT00000000108	0.57	0.26	0.17	4.31	7.40	2.91	3.07	6.51	4.84	2.97	2.33	4.49	8.86	12.08	8.27	7.54	17.09	9.83
ENSOMYG00000000088	ENSOMYT00000000110,ENSOMYT00000000117,ENSOMYT00000000119	142.02	149.62	119.66	131.78	138.85	115.10	92.06	122.59	126.90	66.19	56.58	70.30	96.75	140.69	108.16	88.86	89.67	86.74
ENSOMYG00000000090	ENSOMYT00000000109	0.00	0.00	0.04	0.93	1.63	1.36	0.59	0.82	1.25	0.00	0.00	0.05	0.59	0.27	0.69	1.01	0.57	0.55
ENSOMYG00000000092	ENSOMYT00000000113,ENSOMYT00000137620	15.99	18.17	13.92	10.58	13.67	17.40	22.03	10.91	13.25	11.69	11.18	10.18	7.45	5.78	5.88	11.52	8.40	7.52
ENSOMYG00000000093	ENSOMYT00000000116	93.55	80.72	91.92	17.06	13.21	14.14	13.80	11.93	13.01	68.14	68.92	70.20	10.44	10.66	9.05	11.41	13.29	9.83
ENSOMYG00000000094	ENSOMYT00000000118,ENSOMYT00000000120,ENSOMYT00000000121	27.99	28.30	26.21	10.59	11.20	10.90	13.61	10.00	8.79	12.12	11.43	10.67	12.96	15.82	15.18	12.13	10.03	10.47
ENSOMYG00000000096	ENSOMYT00000000125,ENSOMYT00000000128,ENSOMYT00000121315,ENSOMYT00000135557,ENSOMYT00000161089	5.94	5.51	4.14	21.49	22.87	15.14	23.05	16.22	16.45	3.65	4.10	7.05	27.77	34.03	20.77	17.67	20.43	17.68
ENSOMYG00000000097	ENSOMYT00000000131,ENSOMYT00000000134,ENSOMYT00000126859	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000099	ENSOMYT00000000129	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000100	ENSOMYT00000000127	13.55	30.43	38.90	12.70	15.64	8.23	9.42	6.82	6.43	26.23	26.27	15.84	17.60	10.21	14.42	7.29	9.51	2.04
ENSOMYG00000000101	ENSOMYT00000000133	3.03	2.20	1.75	1.51	4.09	3.03	2.83	1.59	1.08	3.00	2.45	2.31	2.30	1.86	2.76	1.69	0.42	0.64
ENSOMYG00000000103	ENSOMYT00000000135,ENSOMYT00000000144,ENSOMYT00000000150,ENSOMYT00000000158	6.02	5.57	3.96	6.54	10.34	8.64	11.45	7.42	7.58	7.32	1.06	9.75	31.19	30.95	20.26	14.35	39.73	28.99
ENSOMYG00000000105	ENSOMYT00000000139,ENSOMYT00000000148	42.24	38.50	37.24	35.98	43.53	36.09	48.14	39.46	34.82	31.61	26.16	30.79	26.45	27.27	27.31	22.76	14.26	19.32
ENSOMYG00000000106	ENSOMYT00000000142,ENSOMYT00000000146	1.67	1.97	2.32	37.95	43.93	38.38	38.13	52.56	70.79	4.77	3.29	4.39	719.42	816.65	817.65	512.85	1324.79	756.75
ENSOMYG00000000107	ENSOMYT00000000147,ENSOMYT00000000149	0.24	0.17	0.44	3.33	3.07	2.77	5.68	1.79	1.65	10.69	10.09	25.20	1.45	0.80	0.98	1.31	1.46	1.36
ENSOMYG00000000108	ENSOMYT00000000151,ENSOMYT00000000153	0.00	0.00	0.00	1.02	1.58	1.45	0.64	0.31	0.25	0.79	0.19	0.94	0.33	0.40	0.22	0.28	0.06	0.15
ENSOMYG00000000109	ENSOMYT00000000155	0.00	0.00	0.00	0.35	0.17	0.48	0.00	0.00	2.70	1.07	1.22	1.25	2.61	3.12	3.50	0.16	0.00	0.00
ENSOMYG00000000110	ENSOMYT00000000154	21.76	21.51	20.38	4.75	4.75	4.88	4.71	5.72	4.55	14.00	11.16	10.53	4.43	3.47	5.38	5.45	4.27	5.34
ENSOMYG00000000112	ENSOMYT00000000164	0.00	0.00	0.06	1.11	0.96	1.25	0.89	0.24	0.65	0.00	0.00	0.09	0.17	0.17	0.06	0.05	0.10	0.28
ENSOMYG00000000114	ENSOMYT00000000161	11.39	10.44	15.26	16.71	10.45	8.71	6.31	8.52	9.80	12.58	15.48	11.51	83.37	97.58	125.81	71.58	143.65	85.35
ENSOMYG00000000115	ENSOMYT00000000163,ENSOMYT00000150771	0.00	0.00	0.00	0.31	0.08	0.37	0.51	0.34	0.14	0.00	0.00	0.06	0.08	0.00	0.08	0.36	0.14	0.07
ENSOMYG00000000116	ENSOMYT00000000165	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000117	ENSOMYT00000000169,ENSOMYT00000000174,ENSOMYT00000000180	35.86	38.01	23.38	7.82	6.96	7.13	7.56	9.70	9.74	21.09	16.43	15.89	16.79	14.55	11.47	9.06	10.10	11.33
ENSOMYG00000000118	ENSOMYT00000000166,ENSOMYT00000000168,ENSOMYT00000000176	3.00	2.67	9.11	17.72	28.96	24.06	26.89	20.02	21.57	14.69	21.70	15.06	26.11	27.33	23.77	15.24	12.06	15.43
ENSOMYG00000000119	ENSOMYT00000000173,ENSOMYT00000000177	8.03	7.36	7.91	0.13	0.31	0.20	0.14	0.11	0.06	4.50	8.22	9.73	0.00	0.09	0.20	0.00	0.13	0.00
ENSOMYG00000000121	ENSOMYT00000000171	89.67	95.26	92.99	47.56	48.42	43.75	47.53	43.43	37.72	89.93	93.34	84.69	24.94	26.93	33.77	32.39	23.83	29.43
