gene_id	transcript_id(s)	RainbowTrout_RNA_HeadKidney_Immature_Female_R1	RainbowTrout_RNA_HeadKidney_Immature_Female_R2	RainbowTrout_RNA_HeadKidney_Immature_Female_R3	RainbowTrout_RNA_HeadKidney_Immature_Male_R1	RainbowTrout_RNA_HeadKidney_Immature_Male_R2	RainbowTrout_RNA_HeadKidney_Immature_Male_R3	RainbowTrout_RNA_HeadKidney_Mature_Female_R1	RainbowTrout_RNA_HeadKidney_Mature_Female_R2	RainbowTrout_RNA_HeadKidney_Mature_Female_R3	RainbowTrout_RNA_HeadKidney_Mature_Male_R1	RainbowTrout_RNA_HeadKidney_Mature_Male_R2	RainbowTrout_RNA_HeadKidney_Mature_Male_R3
ENSOMYG00000000039	ENSOMYT00000000041	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000042	ENSOMYT00000000043	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000043	ENSOMYT00000000044	9.30	13.95	9.62	10.63	7.67	7.37	9.79	9.07	8.76	15.47	13.70	8.24
ENSOMYG00000000044	ENSOMYT00000000045,ENSOMYT00000130347,ENSOMYT00000152379	0.00	0.00	0.25	0.04	0.00	0.08	0.00	0.00	0.04	0.03	0.08	0.00
ENSOMYG00000000045	ENSOMYT00000000046	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000046	ENSOMYT00000000047	30.17	20.94	17.42	12.39	13.09	13.54	20.06	29.20	22.58	20.71	24.95	15.59
ENSOMYG00000000048	ENSOMYT00000000051	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000049	ENSOMYT00000000052	10.80	13.61	11.01	17.60	7.15	8.35	21.58	11.42	8.78	5.38	7.11	7.95
ENSOMYG00000000050	ENSOMYT00000000053	7.39	7.25	7.18	7.40	8.14	6.46	4.88	6.24	7.98	6.04	6.90	6.55
ENSOMYG00000000053	ENSOMYT00000000056	3.85	2.63	2.96	2.00	2.10	2.17	1.97	2.08	2.46	1.04	2.23	2.76
ENSOMYG00000000054	ENSOMYT00000000058,ENSOMYT00000000061,ENSOMYT00000137190	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000055	ENSOMYT00000000057	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000056	ENSOMYT00000000060,ENSOMYT00000125986,ENSOMYT00000131030,ENSOMYT00000137071	8.54	8.60	7.14	6.14	4.81	6.80	5.97	6.77	7.05	6.98	6.98	8.06
ENSOMYG00000000059	ENSOMYT00000000064	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000061	ENSOMYT00000000070,ENSOMYT00000000072	3.64	1.81	2.97	2.03	4.24	4.63	4.00	3.78	4.50	1.83	1.57	3.39
ENSOMYG00000000063	ENSOMYT00000000071	0.06	0.05	0.00	0.04	0.00	0.00	0.00	0.08	0.00	0.00	0.09	0.26
ENSOMYG00000000064	ENSOMYT00000000074,ENSOMYT00000160957	17.75	9.15	8.70	8.54	6.45	11.46	12.27	13.22	8.95	7.22	10.30	7.43
ENSOMYG00000000066	ENSOMYT00000000080,ENSOMYT00000157253	0.00	0.00	0.13	0.08	0.15	0.08	0.00	0.00	0.08	0.00	0.00	0.00
ENSOMYG00000000068	ENSOMYT00000000078	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000074	ENSOMYT00000000087	2.73	1.25	1.12	0.85	0.66	1.33	0.60	0.61	0.71	0.31	0.85	0.70
ENSOMYG00000000075	ENSOMYT00000000088,ENSOMYT00000000089,ENSOMYT00000145649	11.24	7.90	7.71	5.06	4.73	5.00	2.80	5.74	8.15	3.98	7.44	5.32
ENSOMYG00000000077	ENSOMYT00000000095,ENSOMYT00000129612	3.77	2.63	3.30	3.76	1.90	2.87	2.90	3.69	2.84	1.66	2.30	2.16
ENSOMYG00000000078	ENSOMYT00000000092	1.12	1.32	1.24	0.11	0.96	0.53	1.69	1.92	3.50	2.27	2.64	2.20
ENSOMYG00000000080	ENSOMYT00000000094,ENSOMYT00000126984,ENSOMYT00000129249,ENSOMYT00000143412,ENSOMYT00000150820,ENSOMYT00000157123,ENSOMYT00000161318	15.73	17.04	13.12	15.53	13.14	13.89	15.70	14.22	14.59	11.31	13.14	16.79
ENSOMYG00000000082	ENSOMYT00000000098	5.74	5.95	6.40	4.15	5.01	4.19	4.43	4.88	5.24	4.44	4.15	4.96
