gene_id	transcript_id(s)	10_Early_gastrulation_R1	10_Early_gastrulation_R2	10_Early_gastrulation_R3	11_Late_gastrulation_R1	11_Late_gastrulation_R2	11_Late_gastrulation_R3	12_Early_mid_som_R1	12_Early_mid_som_R2	12_Early_mid_som_R3	13_Mid_late_som_R1	13_Mid_late_som_R2	13_Mid_late_som_R3	14_Early_eyed_R1	14_Early_eyed_R2	14_Early_eyed_R3	1_Late_blastulation_R1	1_Late_blastulation_R2	1_Late_blastulation_R3	2_Mid_gastrulation_R1	2_Mid_gastrulation_R2	2_Mid_gastrulation_R3	3_Early_somitogen_R1	3_Early_somitogen_R2	3_Early_somitogen_R3	4_Mid_somitogen_R1	4_Mid_somitogen_R2	4_Mid_somitogen_R3	5_Late_somitogen_R1	5_Late_somitogen_R2	5_Late_somitogen_R3	6_Late_eyed_R1	6_Late_eyed_R2	6_Late_eyed_R3	7_Pre_blastulation_R1	7_Pre_blastulation_R2	7_Pre_blastulation_R3	8_Early_blastulation_R1	8_Early_blastulation_R2	8_Early_blastulation_R3	9_Mid_blastulation_R1	9_Mid_blastulation_R2	9_Mid_blastulation_R3
ENSSSAG00000000040	ENSSSAT00000000040,ENSSSAT00000158143,ENSSSAT00000197579,ENSSSAT00000219342	25.04	27.45	31.10	18.40	19.80	18.23	19.13	21.23	18.85	15.96	18.42	19.12	15.62	18.26	18.26	32.48	32.55	30.63	19.30	22.69	18.70	17.25	21.84	23.65	18.48	20.29	18.68	16.22	19.24	16.56	15.26	14.79	14.13	87.94	88.27	87.34	28.46	33.73	35.64	23.16	19.70	19.19
ENSSSAG00000000041	ENSSSAT00000000041	0.21	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.09	0.00	0.09	0.00	0.18	0.18	0.32	0.00	0.10	0.03	0.00	0.15	0.18	0.04	0.00	0.00	0.00	0.04	0.00	0.14	0.22	0.00	0.09	0.33	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.06	0.21
ENSSSAG00000000044	ENSSSAT00000000051	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000048	ENSSSAT00000000056,ENSSSAT00000000058,ENSSSAT00000000059,ENSSSAT00000000060,ENSSSAT00000233067	13.46	13.75	15.95	8.47	10.76	11.14	8.07	8.76	8.57	6.48	7.38	9.32	7.74	6.69	6.40	16.07	15.43	14.08	13.55	11.21	11.37	7.74	11.10	10.29	7.10	6.67	7.98	7.08	7.72	8.61	5.02	4.89	5.32	32.76	39.19	35.65	19.42	20.91	24.24	14.38	12.61	15.38
ENSSSAG00000000049	ENSSSAT00000000061	0.10	0.14	0.02	0.31	0.07	0.08	0.49	0.38	0.46	1.38	1.47	1.22	2.59	2.89	2.78	0.19	0.10	0.07	0.13	0.16	0.07	0.46	0.77	0.44	1.65	1.44	1.28	2.31	2.26	2.08	3.62	3.30	2.40	0.76	0.81	1.20	0.49	0.28	0.37	0.41	0.58	0.62
ENSSSAG00000000051	ENSSSAT00000000064,ENSSSAT00000181079,ENSSSAT00000194671,ENSSSAT00000200218,ENSSSAT00000235262,ENSSSAT00000239238	10.80	9.09	10.74	7.05	7.30	7.24	6.47	7.86	8.44	8.14	11.42	9.85	10.05	9.58	10.03	9.41	10.03	8.55	8.44	9.57	6.03	7.18	8.37	8.38	11.51	10.63	10.18	8.84	7.95	12.17	10.57	10.96	9.33	16.28	19.34	23.90	21.69	21.07	23.42	29.08	24.77	30.96
ENSSSAG00000000052	ENSSSAT00000000066,ENSSSAT00000230849,ENSSSAT00000242780	0.02	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.06	0.06	0.00	0.00	0.13	0.13	0.20	0.08	0.00	0.05	0.07	0.07	0.00	0.00	0.00	0.07	0.02	0.00	0.00	0.05	0.02	0.07	1.15	1.30	0.94	0.00	0.08	0.00	0.00	0.00	0.00	0.18	0.36	0.10
ENSSSAG00000000055	ENSSSAT00000000069	58.03	62.68	59.88	20.52	19.70	19.90	11.23	11.21	11.01	2.37	3.67	2.76	0.11	0.43	0.05	68.44	62.66	60.79	27.07	40.79	35.49	14.67	14.17	17.01	5.82	5.19	3.82	0.30	0.41	0.33	0.33	0.22	0.29	19.58	13.32	12.37	357.23	372.42	309.90	175.63	160.82	165.01
ENSSSAG00000000057	ENSSSAT00000000071,ENSSSAT00000000072	4.40	3.56	2.92	2.71	2.20	2.23	1.18	1.24	1.59	2.58	2.36	2.16	4.43	3.94	3.68	3.51	4.09	4.61	2.54	2.89	2.03	1.41	1.03	1.05	1.20	1.66	1.61	3.38	2.72	3.84	3.89	5.28	4.24	33.51	30.85	28.73	25.28	24.46	22.17	11.96	10.57	13.40
ENSSSAG00000000059	ENSSSAT00000000082,ENSSSAT00000000085	0.02	0.07	0.05	0.00	0.04	0.03	0.46	0.37	0.51	0.44	0.50	0.32	9.88	7.69	12.78	0.12	0.00	0.03	0.03	0.02	0.00	0.24	0.25	0.46	0.46	0.69	0.79	7.16	5.26	7.86	11.92	11.00	14.56	0.00	0.00	0.02	0.00	0.00	0.01	0.00	0.00	0.01
ENSSSAG00000000063	ENSSSAT00000000093,ENSSSAT00000178006,ENSSSAT00000196236	16.91	16.00	15.54	10.79	12.01	12.28	8.21	8.40	7.31	6.98	7.98	7.69	6.23	6.54	6.04	20.62	20.43	19.37	11.48	13.85	10.31	7.90	8.16	8.15	8.74	6.22	7.49	7.05	7.29	8.19	6.67	6.20	7.19	99.06	111.33	117.05	90.82	91.56	97.62	44.20	38.58	45.33
ENSSSAG00000000065	ENSSSAT00000000097,ENSSSAT00000000098,ENSSSAT00000166332,ENSSSAT00000205880,ENSSSAT00000251405	8.98	11.80	15.50	4.66	1.18	6.86	6.41	5.90	10.89	3.86	9.92	5.54	4.58	3.89	8.13	7.82	9.95	7.23	10.01	11.64	11.78	7.32	5.74	8.59	3.42	9.01	7.85	5.18	6.51	9.86	6.39	3.23	4.55	6.74	3.65	4.77	3.79	8.94	4.18	11.01	7.37	14.74
ENSSSAG00000000067	ENSSSAT00000191367	0.00	0.00	0.00	0.00	0.10	0.00	0.09	0.15	0.41	0.13	0.05	0.19	0.10	0.44	0.24	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.10	0.25	0.20	0.25	0.00	0.42	0.14	0.30	0.49	0.50	0.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04
ENSSSAG00000000069	ENSSSAT00000000102,ENSSSAT00000000103,ENSSSAT00000188433,ENSSSAT00000236380	0.25	0.10	0.53	0.00	0.00	0.00	0.06	0.04	0.29	0.73	0.77	0.91	0.49	0.60	0.79	1.05	0.95	1.15	0.00	0.24	0.06	0.00	0.03	0.00	0.51	1.13	0.52	0.62	0.47	0.16	0.24	0.53	0.52	0.00	0.00	0.00	0.00	0.00	0.00	0.47	0.40	0.82
ENSSSAG00000000073	ENSSSAT00000000108,ENSSSAT00000000109,ENSSSAT00000159604,ENSSSAT00000173271,ENSSSAT00000185150,ENSSSAT00000190668,ENSSSAT00000253112,ENSSSAT00000253728	0.24	0.17	0.18	0.22	0.33	0.47	3.52	3.43	3.22	3.96	5.51	3.44	5.18	6.72	6.77	0.13	0.05	0.04	0.46	0.12	0.50	1.29	1.64	2.09	4.52	5.38	5.69	4.75	5.00	5.78	5.69	5.41	5.71	0.00	0.00	0.00	0.16	1.70	0.03	0.05	0.00	0.00
ENSSSAG00000000075	ENSSSAT00000000111,ENSSSAT00000000112,ENSSSAT00000000113,ENSSSAT00000000114,ENSSSAT00000000115,ENSSSAT00000000116,ENSSSAT00000000117,ENSSSAT00000000118	4.34	4.80	4.46	4.00	3.87	4.88	5.21	6.60	5.91	5.17	6.75	6.64	6.48	6.72	7.31	4.22	2.79	2.74	3.76	4.27	2.31	4.64	6.57	6.33	6.37	6.09	6.23	5.83	5.86	6.07	5.35	6.00	5.48	4.11	7.88	5.33	2.91	3.01	3.64	4.73	2.34	5.36
ENSSSAG00000000076	ENSSSAT00000000119	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000077	ENSSSAT00000000120,ENSSSAT00000000121,ENSSSAT00000000122,ENSSSAT00000000123	0.90	0.81	0.64	0.59	0.80	0.45	0.47	0.56	0.41	0.45	0.31	0.49	0.30	0.55	0.18	0.67	0.62	0.75	0.51	0.75	0.57	0.25	0.26	0.32	0.64	0.38	0.80	0.14	0.23	0.38	0.44	0.07	0.07	0.00	0.00	0.00	0.35	0.27	0.35	0.51	0.19	0.38
ENSSSAG00000000078	ENSSSAT00000000125	66.72	62.08	63.61	57.94	58.59	58.41	42.32	42.47	39.05	42.14	43.39	40.45	50.29	51.72	47.90	78.21	73.20	78.34	62.55	67.45	62.37	46.64	46.79	42.71	42.47	42.78	44.13	45.61	41.33	46.00	38.60	37.37	40.87	42.82	49.94	47.63	70.32	80.71	69.66	99.18	107.31	91.59
ENSSSAG00000000079	ENSSSAT00000000126,ENSSSAT00000228057	15.75	13.41	16.05	12.76	11.65	12.42	13.03	11.83	11.01	11.50	10.68	11.65	10.22	11.50	11.46	17.00	14.54	18.08	8.46	12.60	8.75	10.80	11.99	13.92	11.47	10.95	12.98	10.30	11.23	12.42	9.17	11.04	8.70	13.98	11.40	14.71	12.99	14.75	13.86	17.29	17.09	14.95
ENSSSAG00000000080	ENSSSAT00000000127,ENSSSAT00000000128,ENSSSAT00000000129	36.35	36.75	37.79	20.18	21.74	22.99	18.96	19.74	19.10	15.21	19.73	17.25	14.51	16.20	15.03	39.85	30.05	29.22	24.75	28.95	20.26	16.56	22.40	22.13	16.67	18.23	17.11	13.97	14.13	16.81	13.86	13.55	14.16	22.15	26.96	19.87	27.65	32.66	26.92	62.43	48.16	63.80
ENSSSAG00000000082	ENSSSAT00000000133,ENSSSAT00000000134,ENSSSAT00000000135	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.07	2.09	2.18	2.70	6.75	5.75	5.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.12	0.87	1.69	5.09	3.88	6.60	6.61	5.74	4.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000083	ENSSSAT00000000136	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.05	0.08	0.11	0.00	0.05	0.14	0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.06	0.04	0.05	0.08	0.22	0.20	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000085	ENSSSAT00000000138,ENSSSAT00000181392	0.09	0.13	0.05	0.00	0.04	0.00	0.76	0.99	0.93	1.52	1.84	2.24	1.38	1.47	1.00	0.22	0.21	0.08	0.04	0.13	0.00	0.34	0.08	0.28	1.65	1.65	2.20	1.21	0.94	1.39	2.20	2.03	2.33	0.86	0.59	0.19	0.70	0.15	0.31	0.11	0.00	0.09
ENSSSAG00000000089	ENSSSAT00000108939,ENSSSAT00000162697,ENSSSAT00000244545	0.06	0.06	0.01	0.00	0.03	0.10	0.02	0.01	0.10	0.08	0.12	0.23	0.27	0.23	0.52	0.01	0.02	0.05	0.10	0.03	0.00	0.15	0.44	0.09	0.11	0.28	0.16	0.31	0.14	0.10	0.58	0.15	0.45	0.24	0.15	0.14	0.17	0.16	0.14	0.07	0.14	0.09
