gene_id	transcript_id(s)	10_Early_gastrulation_R1	10_Early_gastrulation_R2	10_Early_gastrulation_R3	11_Late_gastrulation_R1	11_Late_gastrulation_R2	11_Late_gastrulation_R3	12_Early_mid_som_R1	12_Early_mid_som_R2	12_Early_mid_som_R3	13_Mid_late_som_R1	13_Mid_late_som_R2	13_Mid_late_som_R3	14_Early_eyed_R1	14_Early_eyed_R2	14_Early_eyed_R3	1_Late_blastulation_R1	1_Late_blastulation_R2	1_Late_blastulation_R3	2_Mid_gastrulation_R1	2_Mid_gastrulation_R2	2_Mid_gastrulation_R3	3_Early_Somitogen_R1	3_Early_Somitogen_R2	3_Early_Somitogen_R3	4_Mid_Somitogen_R1	4_Mid_Somitogen_R2	4_Mid_Somitogen_R3	5_Late_Somitogen_R1	5_Late_Somitogen_R2	5_Late_Somitogen_R3	6_Late_Eyed_R1	6_Late_Eyed_R2	6_Late_Eyed_R3	7_Pre_blastulation_R1	7_Pre_blastulation_R2	8_Early_blastulation_R2	8_Early_blastulation_R1	7_Pre_blastulation_R3	8_Early_blastulation_R3	9_Mid_blastulation_R1	9_Mid_blastulation_R2	9_Mid_blastulation_R3
ENSOMYG00000000039	ENSOMYT00000000041	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000042	ENSOMYT00000000043	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.45	0.42	0.16	0.00	0.20	0.00	0.00	0.18	0.00	0.00	0.00	0.00
ENSOMYG00000000043	ENSOMYT00000000044	12.87	16.54	12.59	13.24	22.27	15.00	11.64	17.46	16.64	5.82	7.00	4.52	5.59	5.41	5.31	8.15	8.98	9.08	18.25	16.90	13.30	14.64	15.43	18.59	10.24	16.31	12.89	5.46	4.56	7.21	6.07	4.41	5.12	6.99	7.99	3.68	4.96	9.22	0.60	1.99	1.62	2.50
ENSOMYG00000000044	ENSOMYT00000000045,ENSOMYT00000130347,ENSOMYT00000152379	0.17	0.05	0.28	0.00	0.00	0.14	0.13	0.04	0.00	0.08	0.00	0.09	0.05	0.22	0.16	0.14	0.00	0.10	0.00	0.05	0.04	0.10	0.00	0.00	0.08	0.04	0.00	0.11	0.06	0.00	0.20	0.04	0.22	2.63	3.01	1.06	0.83	3.57	0.86	0.28	0.59	0.38
ENSOMYG00000000045	ENSOMYT00000000046	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000046	ENSOMYT00000000047	24.17	21.24	19.52	16.04	12.46	17.45	15.45	13.63	15.44	9.75	11.52	10.65	10.67	9.02	9.13	19.07	28.06	26.23	13.08	16.06	14.76	12.30	20.10	19.15	13.81	13.22	12.31	16.84	9.54	11.06	10.77	10.31	8.27	17.08	16.51	10.75	5.07	21.70	12.78	16.22	16.27	15.40
ENSOMYG00000000048	ENSOMYT00000000051	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000049	ENSOMYT00000000052	3.92	4.74	4.93	6.63	4.07	3.88	5.93	3.33	5.78	5.44	7.66	5.34	6.25	7.40	7.03	2.64	1.93	2.31	2.37	3.74	2.27	5.35	4.50	4.24	6.95	5.35	5.31	5.36	7.03	7.48	6.24	7.23	4.56	9.01	10.23	6.98	9.24	11.10	6.94	2.01	3.01	2.09
ENSOMYG00000000050	ENSOMYT00000000053	6.47	6.48	7.58	4.76	5.09	7.34	3.52	5.29	5.07	5.40	6.32	5.03	8.21	6.24	6.39	8.38	8.41	10.51	5.59	4.60	6.18	7.73	7.23	4.48	6.50	4.87	5.99	5.33	5.59	6.31	4.86	4.47	4.42	12.09	10.88	20.04	20.34	9.31	16.97	18.69	16.18	21.07
ENSOMYG00000000053	ENSOMYT00000000056	3.27	3.95	4.67	3.73	2.74	3.00	3.06	3.24	3.01	1.81	2.46	2.51	2.11	2.31	2.67	3.74	4.23	4.47	3.39	3.27	2.97	3.28	2.56	3.17	3.39	2.60	2.28	2.78	2.81	2.91	2.00	2.25	1.89	11.15	11.07	11.77	11.11	8.88	10.23	8.29	5.63	7.75
