Origin stage n chromosome start end redip
ssa10_10010411_10010795.maf liver_immature_male 1 ssa10 10010411 10010795 AORe
ssa10_10070207_10070748.maf brain_immature_male 1 ssa10 10070207 10070748 AORe
ssa10_101084420_101085222.maf brain_immature_male 1 ssa10 101084420 101085222 AORe
ssa10_101121720_101123031.maf brain_immature_male 1 ssa10 101121720 101123031 AORe
ssa10_101121720_101123031.maf brain_mature_female 1 ssa10 101121720 101123031 AORe
ssa10_101121720_101123031.maf brain_mature_male 1 ssa10 101121720 101123031 AORe
ssa10_101418537_101419286.maf testis_mature_male 1 ssa10 101418537 101419286 AORe
ssa10_101610965_101611417.maf ovary_mature_female 1 ssa10 101610965 101611417 AORe
ssa10_101675205_101675597.maf brain_immature_male 1 ssa10 101675205 101675597 AORe
ssa10_101675205_101675597.maf brain_mature_male 1 ssa10 101675205 101675597 AORe
ssa10_101676166_101676773.maf brain_mature_female 1 ssa10 101676166 101676773 AORe
ssa10_101763680_101764511.maf midsomitogenesis 1 ssa10 101763680 101764511 AORe
ssa10_101809503_101810763.maf brain_immature_male 1 ssa10 101809503 101810763 AORe
ssa10_101809503_101810763.maf midsomitogenesis 1 ssa10 101809503 101810763 AORe
ssa10_101832809_101834384.maf ovary_immature_female 1 ssa10 101832809 101834384 AORe
ssa10_101984687_101985625.maf liver_immature_female 1 ssa10 101984687 101985625 AORe
ssa10_102001525_102002450.maf midsomitogenesis 1 ssa10 102001525 102002450 AORe
ssa10_102191342_102193162.maf midsomitogenesis 1 ssa10 102191342 102193162 AORe
ssa10_102375228_102376236.maf latesomitogenesis 1 ssa10 102375228 102376236 AORe
ssa10_102394023_102394567.maf brain_immature_female 1 ssa10 102394023 102394567 AORe
ssa10_102394023_102394567.maf brain_immature_male 1 ssa10 102394023 102394567 AORe
ssa10_102394023_102394567.maf brain_mature_male 1 ssa10 102394023 102394567 AORe
ssa10_102397412_102397946.maf brain_immature_female 1 ssa10 102397412 102397946 AORe
ssa10_102397412_102397946.maf brain_immature_male 1 ssa10 102397412 102397946 AORe
ssa10_102397412_102397946.maf brain_mature_female 1 ssa10 102397412 102397946 AORe
ssa10_102397412_102397946.maf brain_mature_male 1 ssa10 102397412 102397946 AORe
ssa10_102461698_102462302.maf liver_mature_male 1 ssa10 102461698 102462302 AORe
ssa10_102542943_102543403.maf liver_immature_male 1 ssa10 102542943 102543403 AORe
ssa10_103678364_103678519.maf liver_immature_female 1 ssa10 103678364 103678519 AORe
ssa10_103753155_103753619.maf liver_immature_female 1 ssa10 103753155 103753619 AORe
ssa10_103753155_103753619.maf liver_immature_male 1 ssa10 103753155 103753619 AORe
ssa10_103753155_103753619.maf liver_mature_female 1 ssa10 103753155 103753619 AORe
ssa10_103753155_103753619.maf liver_mature_male 1 ssa10 103753155 103753619 AORe
ssa10_103754123_103754397.maf liver_immature_female 1 ssa10 103754123 103754397 AORe
ssa10_103754123_103754397.maf liver_immature_male 1 ssa10 103754123 103754397 AORe
ssa10_103754123_103754397.maf liver_mature_female 1 ssa10 103754123 103754397 AORe
ssa10_103754123_103754397.maf liver_mature_male 1 ssa10 103754123 103754397 AORe
ssa10_104797275_104797888.maf lateblastulation 1 ssa10 104797275 104797888 AORe
ssa10_105031697_105032354.maf brain_mature_male 1 ssa10 105031697 105032354 AORe
ssa10_105148293_105148807.maf latesomitogenesis 1 ssa10 105148293 105148807 AORe
ssa10_105148293_105148807.maf midsomitogenesis 1 ssa10 105148293 105148807 AORe
ssa10_105563943_105564507.maf brain_immature_male 1 ssa10 105563943 105564507 AORe
ssa10_105614770_105615370.maf lateblastulation 1 ssa10 105614770 105615370 AORe
ssa10_105614770_105615370.maf midgastrulation 1 ssa10 105614770 105615370 AORe
ssa10_105951335_105951871.maf muscle_mature_female 1 ssa10 105951335 105951871 AORe
ssa10_10606479_10606794.maf brain_mature_female 1 ssa10 10606479 10606794 AORe
ssa10_106615308_106615986.maf liver_immature_female 1 ssa10 106615308 106615986 AORe
ssa10_106615308_106615986.maf liver_immature_male 1 ssa10 106615308 106615986 AORe
ssa10_106615308_106615986.maf liver_mature_female 1 ssa10 106615308 106615986 AORe
ssa10_106615308_106615986.maf liver_mature_male 1 ssa10 106615308 106615986 AORe
ssa10_107079090_107079654.maf liver_immature_male 1 ssa10 107079090 107079654 AORe
ssa10_107079090_107079654.maf liver_mature_female 1 ssa10 107079090 107079654 AORe
ssa10_107079090_107079654.maf liver_mature_male 1 ssa10 107079090 107079654 AORe
ssa10_10734148_10734335.maf liver_immature_male 1 ssa10 10734148 10734335 AORe
ssa10_10734148_10734335.maf liver_mature_male 1 ssa10 10734148 10734335 AORe
ssa10_108141539_108141978.maf midsomitogenesis 1 ssa10 108141539 108141978 AORe
ssa10_108143179_108143487.maf lateblastulation 1 ssa10 108143179 108143487 AORe
ssa10_108559971_108560508.maf ovary_mature_female 1 ssa10 108559971 108560508 AORe
ssa10_108643838_108644176.maf ovary_mature_female 1 ssa10 108643838 108644176 AORe
ssa10_109147627_109147888.maf liver_immature_female 1 ssa10 109147627 109147888 AORe
ssa10_109147627_109147888.maf liver_immature_male 1 ssa10 109147627 109147888 AORe
ssa10_109147627_109147888.maf liver_mature_male 1 ssa10 109147627 109147888 AORe
ssa10_109158268_109158669.maf brain_mature_female 1 ssa10 109158268 109158669 AORe
ssa10_109158268_109158669.maf brain_mature_male 1 ssa10 109158268 109158669 AORe
ssa10_109673901_109674715.maf lateblastulation 1 ssa10 109673901 109674715 AORe
ssa10_110061254_110061705.maf liver_mature_male 1 ssa10 110061254 110061705 AORe
ssa10_110172785_110173383.maf brain_immature_male 1 ssa10 110172785 110173383 AORe
ssa10_110191493_110192088.maf ovary_mature_female 1 ssa10 110191493 110192088 AORe
ssa10_110194663_110195449.maf liver_immature_female 1 ssa10 110194663 110195449 AORe
ssa10_110194663_110195449.maf liver_immature_male 1 ssa10 110194663 110195449 AORe
ssa10_110194663_110195449.maf liver_mature_female 1 ssa10 110194663 110195449 AORe
ssa10_110194663_110195449.maf liver_mature_male 1 ssa10 110194663 110195449 AORe
ssa10_110194663_110195449.maf ovary_mature_female 1 ssa10 110194663 110195449 AORe
ssa10_110197959_110198406.maf liver_immature_male 1 ssa10 110197959 110198406 AORe
ssa10_110197959_110198406.maf liver_mature_female 1 ssa10 110197959 110198406 AORe
ssa10_110197959_110198406.maf liver_mature_male 1 ssa10 110197959 110198406 AORe
ssa10_110204430_110204860.maf muscle_mature_female 1 ssa10 110204430 110204860 AORe
ssa10_111658904_111659262.maf muscle_mature_female 1 ssa10 111658904 111659262 AORe
ssa10_111658904_111659262.maf muscle_mature_male 1 ssa10 111658904 111659262 AORe
ssa10_111705752_111706175.maf muscle_mature_female 1 ssa10 111705752 111706175 AORe
ssa10_11193139_11193808.maf ovary_mature_female 1 ssa10 11193139 11193808 AORe
ssa10_112203629_112203846.maf liver_mature_male 1 ssa10 112203629 112203846 AORe
ssa10_112312727_112313249.maf muscle_mature_female 1 ssa10 112312727 112313249 AORe
ssa10_112342407_112343307.maf muscle_immature_female 1 ssa10 112342407 112343307 AORe
ssa10_112342407_112343307.maf muscle_immature_male 1 ssa10 112342407 112343307 AORe
ssa10_112342407_112343307.maf muscle_mature_female 1 ssa10 112342407 112343307 AORe
ssa10_112342407_112343307.maf muscle_mature_male 1 ssa10 112342407 112343307 AORe
ssa10_112581469_112582012.maf brain_immature_female 1 ssa10 112581469 112582012 AORe
ssa10_112706722_112708186.maf lateblastulation 1 ssa10 112706722 112708186 AORe
ssa10_112730909_112731658.maf lateblastulation 1 ssa10 112730909 112731658 AORe
ssa10_112740200_112741132.maf lateblastulation 1 ssa10 112740200 112741132 AORe
ssa10_112740200_112741132.maf midgastrulation 1 ssa10 112740200 112741132 AORe
ssa10_113462995_113463677.maf liver_mature_male 1 ssa10 113462995 113463677 AORe
ssa10_113637538_113638472.maf brain_mature_female 1 ssa10 113637538 113638472 AORe
