chrom	start	end	label	assembly_name
1	103000000	119000000	1-18	Ssal_v3.1
18	32000000	49500000	1-18	Ssal_v3.1
2	1	48500000	2p-5q	Ssal_v3.1
5	46800000	92788608	2p-5q	Ssal_v3.1
2	48500000	95481959	2q-12qa	Ssal_v3.1
12	1	38600000	2q-12qa	Ssal_v3.1
3	53500000	105780080	3q-6p	Ssal_v3.1
6	1	48000000	3q-6p	Ssal_v3.1
4	1	30000000	4p-8q	Ssal_v3.1
8	1	28860523	4p-8q	Ssal_v3.1
7	33000000	68862998	7q-17qb	Ssal_v3.1
17	47000000	87489397	7q-17qb	Ssal_v3.1
11	1	59000000	11qa-26	Ssal_v3.1
26	1	55994222	11qa-26	Ssal_v3.1
16	58000000	96486271	16qb-17qa	Ssal_v3.1
17	1	47000000	16qb-17qa	Ssal_v3.1
