chromosome	pos_start	pos_end	age	category
1	103245673	103245760	Euteleosteomorpha	shared
18	32255682	32255769	Euteleosteomorpha	shared
1	103245193	103245218	Euteleosteomorpha	shared
18	32255193	32255218	Euteleosteomorpha	shared
1	103414051	103414073	Neopterygii	shared
18	32426257	32426279	Neopterygii	shared
1	103543045	103543069	Teleostei	shared
18	32573766	32573790	Teleostei	shared
1	103656859	103656919	Clupeocephala	shared
18	32672529	32672589	Clupeocephala	shared
1	103758657	103758686	Neopterygii	shared
18	32773245	32773274	Neopterygii	shared
1	103758474	103758507	Actinopteri	shared
18	32773049	32773084	Actinopteri	shared
1	103801035	103801062	Clupeocephala	shared
18	32823567	32823594	Clupeocephala	shared
1	103965143	103965217	Euteleostomi	shared
18	33086761	33086835	Euteleostomi	shared
1	103965121	103965144	Euteleostomi	shared
18	33086739	33086762	Euteleostomi	shared
1	103964664	103964710	Euteleosteomorpha	shared
18	33086304	33086350	Euteleosteomorpha	shared
1	104008124	104008168	Clupeocephala	shared
18	33163762	33163806	Clupeocephala	shared
1	104008095	104008119	Clupeocephala	shared
18	33163733	33163757	Clupeocephala	shared
1	104019042	104019113	Teleostei	shared
18	33175155	33175226	Teleostei	shared
1	104313755	104313833	Euteleosteomorpha	shared
18	33467669	33467747	Euteleosteomorpha	shared
1	104313736	104313756	Clupeocephala	shared
18	33467650	33467670	Clupeocephala	shared
1	105068587	105068618	Teleostei	shared
18	33737520	33737551	Teleostei	shared
1	106863590	106863611	Actinopteri	shared
18	35238634	35238655	Actinopteri	shared
1	106863506	106863525	Actinopteri	shared
18	35238550	35238569	Actinopteri	shared
1	106974106	106974146	Protacanthopterygii	shared
18	35328392	35328433	Protacanthopterygii	shared
1	106974040	106974107	Protacanthopterygii	shared
18	35328326	35328393	Protacanthopterygii	shared
1	107052875	107052911	Euteleostomi	shared
18	35401359	35401395	Euteleostomi	shared
1	107052860	107052873	Euteleostomi	shared
18	35401344	35401357	Euteleostomi	shared
1	107052132	107052200	Teleostei	shared
18	35400593	35400661	Teleostei	shared
1	107169251	107169324	Neopterygii	shared
18	35491392	35491465	Neopterygii	shared
1	109942654	109942685	Neopterygii	shared
18	47445853	47445884	Neopterygii	shared
1	109989674	109989694	Teleostei	shared
18	47409420	47409440	Teleostei	shared
1	109989700	109989721	Teleostei	shared
18	47409393	47409414	Teleostei	shared
1	110618367	110618454	Protacanthopterygii	shared
18	37892791	37892878	Protacanthopterygii	shared
1	113720415	113720582	Euteleostomi	shared
18	40576689	40576856	Euteleostomi	shared
1	113720581	113720610	Euteleostomi	shared
18	40576855	40576884	Euteleostomi	shared
1	113804113	113804130	Actinopteri	shared
18	40646587	40646604	Actinopteri	shared
1	116409880	116409906	Neopterygii	shared
18	43304474	43304500	Neopterygii	shared
1	11911798	11911812	Teleostei	shared
9	7534884	7534898	Teleostei	shared
1	123457259	123457273	Teleostei	shared
13	103967172	103967186	Teleostei	shared
1	123645667	123645705	Neopterygii	shared
13	103757631	103757669	Neopterygii	shared
1	123689480	123689547	Actinopteri	shared
13	103703239	103703306	Actinopteri	shared
1	123697488	123697577	Euteleostomi	shared
13	103682093	103682182	Euteleostomi	shared
1	123697455	123697488	Euteleostomi	shared
13	103682182	103682215	Euteleostomi	shared
1	123697242	123697276	Neopterygii	shared
13	103682446	103682480	Neopterygii	shared
1	124068820	124068842	Euteleostomi	shared
13	103284564	103284586	Euteleostomi	shared
1	124068754	124068792	Euteleostomi	shared
13	103284614	103284652	Euteleostomi	shared
