Origin stage n chromosome start end redip
ssa10_10003269_10003664.maf brain_immature_male 1 ssa10 10003269 10003664 AORe
ssa10_10015793_10016451.maf brain_immature_male 1 ssa10 10015793 10016451 AORe
ssa10_10015793_10016451.maf brain_mature_male 1 ssa10 10015793 10016451 AORe
ssa10_101451475_101451729.maf testis_mature_male 1 ssa10 101451475 101451729 AORe
ssa10_102432662_102433280.maf ovary_immature_female 1 ssa10 102432662 102433280 AORe
ssa10_102674923_102675500.maf ovary_immature_female 1 ssa10 102674923 102675500 AORe
ssa10_102704527_102705430.maf ovary_mature_female 1 ssa10 102704527 102705430 AORe
ssa10_102877022_102877838.maf lateblastulation 1 ssa10 102877022 102877838 AORe
ssa10_102877022_102877838.maf midgastrulation 1 ssa10 102877022 102877838 AORe
ssa10_103089725_103089947.maf ovary_mature_female 1 ssa10 103089725 103089947 AORe
ssa10_103089953_103090718.maf earlysomitogenesis 1 ssa10 103089953 103090718 AORe
ssa10_103220603_103221357.maf brain_immature_male 1 ssa10 103220603 103221357 AORe
ssa10_103220603_103221357.maf brain_mature_female 1 ssa10 103220603 103221357 AORe
ssa10_103222388_103222842.maf brain_immature_female 1 ssa10 103222388 103222842 AORe
ssa10_103222388_103222842.maf brain_immature_male 1 ssa10 103222388 103222842 AORe
ssa10_103222388_103222842.maf brain_mature_male 1 ssa10 103222388 103222842 AORe
ssa10_103239962_103240933.maf liver_immature_male 1 ssa10 103239962 103240933 AORe
ssa10_103274610_103275164.maf liver_immature_male 1 ssa10 103274610 103275164 AORe
ssa10_103582399_103582881.maf muscle_immature_female 1 ssa10 103582399 103582881 AORe
ssa10_103582399_103582881.maf muscle_mature_female 1 ssa10 103582399 103582881 AORe
ssa10_103585060_103585474.maf muscle_immature_female 1 ssa10 103585060 103585474 AORe
ssa10_103585060_103585474.maf muscle_immature_male 1 ssa10 103585060 103585474 AORe
ssa10_103585060_103585474.maf muscle_mature_female 1 ssa10 103585060 103585474 AORe
ssa10_103585060_103585474.maf muscle_mature_male 1 ssa10 103585060 103585474 AORe
ssa10_103590178_103590396.maf muscle_immature_female 1 ssa10 103590178 103590396 AORe
ssa10_103590178_103590396.maf muscle_mature_female 1 ssa10 103590178 103590396 AORe
ssa10_103626793_103627207.maf liver_mature_male 1 ssa10 103626793 103627207 AORe
ssa10_103626793_103627207.maf ovary_immature_female 1 ssa10 103626793 103627207 AORe
ssa10_103626793_103627207.maf ovary_mature_female 1 ssa10 103626793 103627207 AORe
ssa10_103675730_103675966.maf liver_immature_male 1 ssa10 103675730 103675966 AORe
ssa10_103675730_103675966.maf liver_mature_male 1 ssa10 103675730 103675966 AORe
ssa10_103869594_103870657.maf brain_immature_male 1 ssa10 103869594 103870657 AORe
ssa10_104023362_104023561.maf muscle_immature_female 1 ssa10 104023362 104023561 AORe
ssa10_104117457_104118026.maf ovary_immature_female 1 ssa10 104117457 104118026 AORe
ssa10_104117457_104118026.maf ovary_mature_female 1 ssa10 104117457 104118026 AORe
ssa10_104211190_104212078.maf brain_immature_female 1 ssa10 104211190 104212078 AORe
ssa10_104211190_104212078.maf brain_immature_male 1 ssa10 104211190 104212078 AORe
ssa10_104211190_104212078.maf brain_mature_female 1 ssa10 104211190 104212078 AORe
ssa10_104211190_104212078.maf brain_mature_male 1 ssa10 104211190 104212078 AORe
ssa10_104224631_104225080.maf brain_immature_female 1 ssa10 104224631 104225080 AORe
ssa10_104224631_104225080.maf brain_immature_male 1 ssa10 104224631 104225080 AORe
ssa10_104224631_104225080.maf brain_mature_male 1 ssa10 104224631 104225080 AORe
ssa10_104588704_104588977.maf liver_immature_female 1 ssa10 104588704 104588977 AORe
ssa10_104588704_104588977.maf liver_immature_male 1 ssa10 104588704 104588977 AORe
ssa10_104588704_104588977.maf liver_mature_male 1 ssa10 104588704 104588977 AORe
ssa10_104697639_104698655.maf brain_immature_male 1 ssa10 104697639 104698655 AORe
ssa10_104697639_104698655.maf brain_mature_male 1 ssa10 104697639 104698655 AORe
ssa10_105011156_105011909.maf brain_mature_female 1 ssa10 105011156 105011909 AORe
ssa10_105011156_105011909.maf brain_mature_male 1 ssa10 105011156 105011909 AORe
ssa10_105011156_105011909.maf latesomitogenesis 1 ssa10 105011156 105011909 AORe
ssa10_105116015_105116544.maf lateblastulation 1 ssa10 105116015 105116544 AORe
ssa10_105166558_105167546.maf midgastrulation 1 ssa10 105166558 105167546 AORe
ssa10_10517809_10518134.maf muscle_immature_female 1 ssa10 10517809 10518134 AORe
ssa10_10517809_10518134.maf muscle_immature_male 1 ssa10 10517809 10518134 AORe
ssa10_10517809_10518134.maf muscle_mature_female 1 ssa10 10517809 10518134 AORe
ssa10_105181767_105182499.maf brain_immature_male 1 ssa10 105181767 105182499 AORe
ssa10_105181767_105182499.maf brain_mature_male 1 ssa10 105181767 105182499 AORe
ssa10_105181767_105182499.maf muscle_immature_female 1 ssa10 105181767 105182499 AORe
ssa10_105181767_105182499.maf muscle_mature_female 1 ssa10 105181767 105182499 AORe
ssa10_105191793_105192822.maf brain_mature_male 1 ssa10 105191793 105192822 AORe
ssa10_10528373_10528575.maf muscle_immature_male 1 ssa10 10528373 10528575 AORe
ssa10_105291895_105292430.maf brain_immature_female 1 ssa10 105291895 105292430 AORe
ssa10_105293200_105293836.maf brain_mature_male 1 ssa10 105293200 105293836 AORe
ssa10_105304933_105305487.maf brain_mature_male 1 ssa10 105304933 105305487 AORe
ssa10_105391979_105392240.maf muscle_immature_female 1 ssa10 105391979 105392240 AORe
ssa10_105391979_105392240.maf muscle_immature_male 1 ssa10 105391979 105392240 AORe
ssa10_105391979_105392240.maf muscle_mature_male 1 ssa10 105391979 105392240 AORe
ssa10_105433091_105433736.maf ovary_immature_female 1 ssa10 105433091 105433736 AORe
ssa10_105609514_105609984.maf lateblastulation 1 ssa10 105609514 105609984 AORe
ssa10_105616758_105617247.maf brain_immature_male 1 ssa10 105616758 105617247 AORe
ssa10_105616758_105617247.maf brain_mature_male 1 ssa10 105616758 105617247 AORe
ssa10_105621426_105622546.maf brain_immature_male 1 ssa10 105621426 105622546 AORe
ssa10_105621426_105622546.maf brain_mature_female 1 ssa10 105621426 105622546 AORe
ssa10_105621426_105622546.maf brain_mature_male 1 ssa10 105621426 105622546 AORe
ssa10_105963386_105963833.maf brain_mature_female 1 ssa10 105963386 105963833 AORe
ssa10_105964118_105964670.maf brain_immature_male 1 ssa10 105964118 105964670 AORe
ssa10_105964118_105964670.maf brain_mature_male 1 ssa10 105964118 105964670 AORe
ssa10_10612610_10613404.maf midgastrulation 1 ssa10 10612610 10613404 AORe
ssa10_106225352_106225752.maf muscle_immature_female 1 ssa10 106225352 106225752 AORe
ssa10_106226254_106227674.maf midgastrulation 1 ssa10 106226254 106227674 AORe
ssa10_106226254_106227674.maf muscle_immature_female 1 ssa10 106226254 106227674 AORe
ssa10_106640803_106641397.maf brain_immature_male 1 ssa10 106640803 106641397 AORe
ssa10_106640803_106641397.maf brain_mature_female 1 ssa10 106640803 106641397 AORe
ssa10_106640803_106641397.maf brain_mature_male 1 ssa10 106640803 106641397 AORe
