Origin stage n chromosome start end redip
ssa10_103261543_103262015.maf brain_immature_male 2 ssa10 103261543 103262015 AORe
ssa10_103261543_103262015.maf brain_mature_female 2 ssa10 103261543 103262015 AORe
ssa10_103261543_103262015.maf brain_mature_male 2 ssa10 103261543 103262015 AORe
ssa10_106798136_106799226.maf brain_mature_female 2 ssa10 106798136 106799226 AORe
ssa10_106798136_106799226.maf brain_mature_male 2 ssa10 106798136 106799226 AORe
ssa10_108329360_108329986.maf latesomitogenesis 2 ssa10 108329360 108329986 AORe
ssa10_108329360_108329986.maf midgastrulation 2 ssa10 108329360 108329986 AORe
ssa10_11086857_11087254.maf midsomitogenesis 2 ssa10 11086857 11087254 AORe
ssa10_115090733_115091716.maf latesomitogenesis 2 ssa10 115090733 115091716 AORe
ssa10_115090733_115091716.maf midsomitogenesis 2 ssa10 115090733 115091716 AORe
ssa10_115625114_115625609.maf muscle_immature_female 2 ssa10 115625114 115625609 AORe
ssa10_116363582_116364527.maf brain_mature_male 2 ssa10 116363582 116364527 AORe
ssa10_117186769_117186990.maf brain_immature_male 2 ssa10 117186769 117186990 AORe
ssa10_117198172_117198559.maf brain_immature_male 2 ssa10 117198172 117198559 AORe
ssa10_117198172_117198559.maf brain_mature_female 2 ssa10 117198172 117198559 AORe
ssa10_117198172_117198559.maf brain_mature_male 2 ssa10 117198172 117198559 AORe
ssa10_12472717_12472950.maf muscle_immature_female 2 ssa10 12472717 12472950 AORe
ssa10_15113524_15114259.maf latesomitogenesis 2 ssa10 15113524 15114259 AORe
ssa10_15113524_15114259.maf muscle_immature_female 2 ssa10 15113524 15114259 AORe
ssa10_15113524_15114259.maf muscle_mature_female 2 ssa10 15113524 15114259 AORe
ssa10_15113524_15114259.maf muscle_mature_male 2 ssa10 15113524 15114259 AORe
ssa10_15777973_15778576.maf muscle_immature_female 2 ssa10 15777973 15778576 AORe
ssa10_20387708_20388134.maf brain_immature_male 2 ssa10 20387708 20388134 AORe
ssa10_20419439_20419925.maf brain_immature_male 2 ssa10 20419439 20419925 AORe
ssa10_20419439_20419925.maf brain_mature_female 2 ssa10 20419439 20419925 AORe
ssa10_20419439_20419925.maf brain_mature_male 2 ssa10 20419439 20419925 AORe
ssa10_20707215_20708054.maf testis_mature_male 2 ssa10 20707215 20708054 AORe
ssa10_21357548_21357896.maf latesomitogenesis 2 ssa10 21357548 21357896 AORe
ssa10_21357548_21357896.maf midsomitogenesis 2 ssa10 21357548 21357896 AORe
ssa10_22928938_22929363.maf midsomitogenesis 2 ssa10 22928938 22929363 AORe
ssa10_24451809_24452737.maf latesomitogenesis 2 ssa10 24451809 24452737 AORe
ssa10_24451809_24452737.maf muscle_immature_female 2 ssa10 24451809 24452737 AORe
ssa10_24451809_24452737.maf muscle_mature_female 2 ssa10 24451809 24452737 AORe
ssa10_24451809_24452737.maf muscle_mature_male 2 ssa10 24451809 24452737 AORe
ssa10_32531171_32531970.maf brain_immature_male 2 ssa10 32531171 32531970 AORe
