subOG	spc	geneID	chr	start	end	strand	nSsal	nOmyk	synteny	phylogeny	proxiSynteny	proxiPhylogeny	reciprocal
Ens106s00001.372	Ssal	ENSSSAG00000009676	Ssa04	45450189	45451352	+	1	1	((Omy10,Ssa04),(Omy12,Ssa13))	NA	((Omy10,Ssa04),(Omy12,Ssa13))	AORe	FALSE
Ens106s00001.372	Omyk	ENSOMYG00000038703	Omy10	41474987	41476150	-	1	1	((Omy10,Ssa04),(Omy12,Ssa13))	NA	((Omy10,Ssa04),(Omy12,Ssa13))	AORe	FALSE
Ens106s00001.377	Ssal	ENSSSAG00000101679	Ssa18	995796	997140	+	19	21	NA	NA	NA	NA	NA
Ens106s00001.377	Omyk	ENSOMYG00000019304	Omy22	43954409	44009807	-	19	21	NA	NA	((Omy03,Ssa25),(Omy22,Ssa21))	AORe	NA
Ens106s00001.377	Omyk	ENSOMYG00000019294	Omy22	43953864	43955386	-	19	21	NA	NA	((Omy03,Ssa25),(Omy22,Ssa21))	AORe	NA
Ens106s00001.377	Ssal	ENSSSAG00000048187	SsaCAJNNT020001670.1	184636	186277	-	19	21	NA	NA	NA	NA	NA
Ens106s00001.377	Ssal	ENSSSAG00000106507	Ssa18	1037104	1038151	-	19	21	NA	NA	NA	NA	NA
Ens106s00001.377	Ssal	ENSSSAG00000092945	Ssa04	90341026	90401456	-	19	21	NA	NA	((Omy10,Ssa04),(OmyY,Ssa11))	AORe	NA
Ens106s00001.377	Omyk	ENSOMYG00000023989	Omy22	45362664	45365714	-	19	21	NA	NA	((Omy03,Ssa25),(Omy22,Ssa21))	AORe	NA
Ens106s00001.377	Omyk	ENSOMYG00000068191	Omy22	45402018	45447973	+	19	21	NA	NA	((Omy03,Ssa25),(Omy22,Ssa21))	AORe	NA
Ens106s00001.377	Ssal	ENSSSAG00000089995	Ssa21	49515408	49558375	-	19	21	NA	NA	((Omy03,Ssa25),(Omy22,Ssa21))	AORe	NA
Ens106s00001.377	Omyk	ENSOMYG00000054676	Omy22	43840337	43905172	-	19	21	NA	NA	((Omy03,Ssa25),(Omy22,Ssa21))	AORe	NA
Ens106s00001.377	Omyk	ENSOMYG00000069828	Omy22	43626374	43642807	+	19	21	NA	NA	((Omy03,Ssa25),(Omy22,Ssa21))	AORe	NA
Ens106s00001.377	Omyk	ENSOMYG00000062273	Omy22	43712487	43713541	+	19	21	NA	NA	((Omy03,Ssa25),(Omy22,Ssa21))	AORe	NA
Ens106s00001.377	Ssal	ENSSSAG00000110345	Ssa21	49429942	49440000	+	19	21	NA	NA	((Omy03,Ssa25),(Omy22,Ssa21))	AORe	NA
Ens106s00001.377	Omyk	ENSOMYG00000050773	Omy22	43799733	43800695	-	19	21	NA	NA	((Omy03,Ssa25),(Omy22,Ssa21))	AORe	NA
Ens106s00001.377	Omyk	ENSOMYG00000050388	Omy22	43767627	43768589	-	19	21	NA	NA	((Omy03,Ssa25),(Omy22,Ssa21))	AORe	NA
